Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Società Decoratori Forlivesi,,"Via Rolandini, 6/A",Forlì,FC,,,,1976,"imbiancature, tinteggiature per interni ed esterni, stucchi decorativi, decorazioni, interventi di ripristino",0,https://www.decoratoriforlivesi.it/,sito aziendale decoratoriforlivesi.it (via ricerca web)
Biserni Quinto,,,Forlì,FC,,,,,"pavimenti in resina, cemento stampato, parquet in laminato, moquette",0,,directory Edilnet.it (via ricerca web)
Mariani Edilizia,,,Forlì,FC,,,,,tinteggiature e imbiancature per edilizia civile e industriale,0,,ricerca web (directory imprese Forlì-Cesena)
F.lli Vitali Lattonieri,,,Forlì,FC,,,,,"rifacimento tetti e facciate, coperture, lattoneria (attiva da oltre 40 anni su Forlì, Cesena, Rimini e Ravenna)",0,https://www.fratellivitali.com/,sito aziendale fratellivitali.com (via ricerca web)
Gran Color S.r.l.,,,Forlimpopoli,FC,,,,,"decorazioni e tinteggiature interni/esterni, opere murarie, impermeabilizzazioni, materiali ignifughi, ripristino e manutenzione edifici",8,https://www.grancolorsrl.com/,sito aziendale grancolorsrl.com (via ricerca web)
Salariu Petrica Bogdan,,,Forlimpopoli,FC,,,,,"finiture interne, tinteggiature, imbiancature, decorazioni murali",0,,directory Instapro (via ricerca web)
Edil Servizi Cesena,,,Cesena,FC,,,,,"posa termocappotto (cappotto termico), rifacimento facciate, opere murarie, costruzioni e ristrutturazioni edili",10.7,https://edilservizicesena.it/,sito aziendale edilservizicesena.it (via ricerca web)
Domlec S.r.l.,,,Cesena,FC,,,,,"decorazione e tinteggiatura, cartongesso, controsoffitti, isolamento termico (cappotti)",0,,directory ProntoPro (via ricerca web)
Versari Erio,,,Cesena,FC,,,,,"pavimenti in resina, installazione pavimentazioni in resina civili",0,,directory Edilnet.it (via ricerca web)
DecorLine,,,San Mauro Pascoli,FC,,,,,"pavimentazioni in resina civili e industriali, rivestimenti decorativi",14.3,,ricerca web (pavimentisulweb.it / Edilnet.it)
Color Decor S.r.l.,,,Cesenatico (Villamarina),FC,,,,,"prodotti e sistemi per decorazione: stucchi, pitture e finiture per edilizia (fornitore per imprese di tinteggiatura di Forlì, Cesena, Rimini, Ravenna)",7.4,https://www.colordecor.it/,sito aziendale colordecor.it (via ricerca web)
Mirko Mosconi Tinteggiatura e Cartongesso,,,Sogliano al Rubicone,FC,,,,,"tinteggiature, imbiancature, cartongesso",21.5,,directory Instapro (via ricerca web)
Romagna Imbianchini,,,(comune non specificato — opera in provincia),FC,,,,,"imbiancatura esterna edifici, tinteggiatura pareti esterne, cicli antialga, rivestimenti al quarzo ed elastomerici",,https://www.romagnaimbianchini.it/,sito aziendale romagnaimbianchini.it (via ricerca web); opera nell'area Forlì-Cesena
Pasini Resina e Decorativi,,,(comune non specificato — opera in provincia),FC,,,,,"pavimenti e superfici in resina, microcemento, tecniche decorative a base di calce naturale, stucchi decorativi",,,directory Edilnet.it area Cesena (via ricerca web)
AMBROEDIL di Ambrosio Antonio,,,(comune non specificato — opera in provincia),FC,,,,,"opere murarie, lavori edili, tinteggiature (opera in provincia di Forlì-Cesena)",,,ricerca web (directory imbianchini/imprese edili Forlì-Cesena)
Impresa Costruzioni G. Dalmonte & C.,,,(comune non specificato — opera in provincia),FC,,,,,"opere murarie interne ed esterne, restauri, nuove costruzioni, manutenzione ordinaria edifici",,,directory Edilnet.it provincia Forlì-Cesena (via ricerca web)
PT Lavori Edili,,,(comune non specificato — opera in provincia),FC,,,,,"pavimenti in resina cementizia ed epossidica, lavori edili, opere murarie (attiva tra Forlì e Cesena)",,https://www.ptlavoriedili.com/,sito aziendale ptlavoriedili.com (via ricerca web)
Errecolor,,,(comune non specificato — opera in provincia),FC,,,,,"tinteggiature, decorazioni e stucchi decorativi, cartongesso per interni ed esterni",,,directory Reteimprese.it area Forlì (via ricerca web)
,,,,,,,,,,,,
CANTIERI NAVALI E NAUTICA,,,,,,,,,,,,
Ferretti S.p.A. (Ferretti Group),,Via Ansaldo 7,Forlì,FC,0543 787511,,,1968,Costruzione yacht di lusso (sede storica e stabilimento produttivo Ferretti Yachts a Forlì),0,https://www.ferrettigroup.com,Conoscenza pregressa (ricerca web non disponibile in questa sessione: budget WebSearch esaurito ed egress proxy bloccato) — da verificare; tel: Sede Ferretti S.p.A. Via Ansaldo 7 Forlì - centralino pubblicato nei comunicati ufficiali ferrettigroup.com (conoscenza pregressa; NON riverificato in sessione: budget WebSearch esaurito ed egress bloccato)
Onda Marina S.r.l. (Marina di Cesenatico),,,Cesenatico,FC,,,,,Gestione darsena e rimessaggio imbarcazioni con servizi di assistenza,31.5,,Conoscenza pregressa (ricerca web non disponibile in questa sessione) — da verificare
Cantiere Navale Foschi di Ulisse e Andrea S.n.c.,02656020407,"Viale Paolo Toscanelli, 12 - 47042",Cesenatico,FC,0547 80510,,,1969,"Cantiere navale storico: costruzione in legno di traghetti e imbarcazioni per trasporto passeggeri fino a 40 m, manutenzione ordinaria e straordinaria delle barche storiche del Museo della Marineria di Cesenatico, restauro barche in legno",0,https://www.cantierefoschi.it,"paginebianche.it, reportaziende.it, barchedepocaeclassiche.it, cesenatoday.it"
Cantieri Navali Boschetti di Boschetti Elviro e C. S.n.c.,03245560408,"Via Darsena, 8 - 47042",Cesenatico,FC,0547 82417,info@cantierinavaliboschetti.it,,1959,"Cantiere navale artigiano: costruzione motonavi passeggeri in legno, pescherecci e imbarcazioni da diporto anche in vetroresina e lega leggera; riparazioni navali",0,https://www.cantierinavaliboschetti.it,"ufficiocamerale.it, cantierinavaliboschetti.it, paginegialle.it, cnafc.it"
Cantiere Navale Marconi di Marconi Flavio & C. S.n.c.,,"Viale Magrini, 38 - 47042",Cesenatico,FC,0547 82858,cantierenavalemarconi@gmail.com,,,"Cantiere navale: manutenzioni, riparazioni e rimessaggio imbarcazioni",0,,"aziendit.com, reteimprese.it, misterimprese.it, paginegialle.it"
