Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Del Rio F.lli - Tinteggi,02478450345,"Strada Chiesa di Baganzola 3/C, 43126",Parma (fraz. Baganzola),PR,0521 602107,info@delriofratelli.it,,1966,"tinteggiature interne ed esterne, imbiancature, decorazioni, stucchi, velature, finiture di interni ed esterni",0,https://www.delriofratelli.it/,"sito aziendale delriofratelli.it, Pagine Gialle, oraridiapertura24.it; P.IVA: delriofratelli.it (n. Registro Imprese CCIAA Parma)"
Eurotinteggi di Scocuzza Simone,02204610345,,Parma,PR,0524 200779 / 0524 204601,,,,"tinteggiature interne ed esterne, imbiancature, decorazioni per interni ed esterni, trattamenti antimuffa, cartongesso, carta da parati (oltre 30 anni di attivita)",0,https://eurotinteggi.com/,"sito aziendale eurotinteggi.com, garaedile.it; P.IVA: garaedile.it / eurotinteggi.com; tel: PagineGialle (scheda 'Eurotinteggi di Scocuzza Simone', Via Bersaglieri d'Italia 7, Soragna PR - sede operativa)"
Del Rio Giuliano Tinteggi,02819460342,"Via Giuseppe Zanardelli 14, 43125",Parma,PR,347 5425364,,,,"tinteggiature interne ed esterne con idropitture, imbiancature, decorazioni, cartongesso, ristrutturazioni",0,https://www.paginegialle.it/del-rio-giuliano-tinteggi-parma,"Pagine Gialle, Pagine Bianche; P.IVA: paginegialle.it"
Volpi Costruzioni S.n.c. di Volpi Andrea e Roberto,02363890340,"Via Pietro Carnerini 4, 43123",Parma,PR,0521 642146,,,,"cappotti termici, ripristino e ristrutturazione facciate, ripristino intonaci, opere murarie, ristrutturazioni e nuove costruzioni (oltre 40 anni di attivita)",0,https://www.volpicostruzioni.it/,"sito aziendale volpicostruzioni.it / volpicostruzioniparma.it, Pagine Gialle, Firmania, Impresa Italia; P.IVA: impresaitalia.info / bluaziende.com"
Fratelli Longo S.r.l.,02781540345,"Viale Antonio Fratti 44/B, 43121",Parma,PR,0521 272480,,3-5 (2024),,"ristrutturazioni edili, cappotti termici, rifacimento facciate, opere murarie, ristrutturazioni appartamenti chiavi in mano (oltre 20 anni di esperienza; P.IVA 02781540345)",0,https://www.fllilongoristrutturazioni.it/,"sito aziendale fllilongoristrutturazioni.it, ufficiocamerale.it, fatturatoitalia.it, reportaziende.it"
Ropan S.r.l.,02978950349,"Via Emilia Ovest 157/H, 43126",Parma,PR,347 3253549,ropan.pr@gmail.com,11,,"cappotti termici, tinteggiatura e intonacatura facciate, messa in sicurezza balconi, impermeabilizzazioni, coperture e rifacimento tetti, opere murarie (ATECO 43.39.01)",0,https://www.ropansrl.it/,"sito aziendale ropansrl.it, informazione-aziende.it, Atoka, ufficiocamerale.it, Virgilio Aziende; P.IVA: ufficiocamerale.it / reportaziende.it"
Boccia Costruzioni Parma S.r.l.,02791050343,"Via Renato e Sergio Mordacci 24/B, 43126",Parma,PR,0521 984921,info@bocciacostruzioniparmasrl.it,2 (2022),2016,"rifacimento facciate e balconi, cappotto termico, ristrutturazioni, opere murarie, costruzioni (P.IVA 02791050343, ATECO 43.99.09; esperienza ventennale del titolare)",0,https://bocciacostruzioni.it/,"sito aziendale bocciacostruzioni.it, ufficiocamerale.it, reportaziende.it, fatturatoitalia.it, Pagine Gialle"
Arteco Group S.r.l.,02730310345,"Via Baganza 41, 43125",Parma,PR,0521 522211,alberto.maccini@artecoparma.it,,2014,"cappotti termici condominiali, ristrutturazioni e manutenzioni condominiali, impermeabilizzazioni, efficientamento energetico, consolidamento antisismico, opere murarie, bioedilizia (P.IVA 02730310345)",0,https://www.artecoparma.it/,"sito aziendale artecoparma.it, companyreports.it, ufficiocamerale.it, reportaziende.it"
Rabitti Alessandro (imbianchino e decoratore),01975710342,Via Langhirano 448,Parma (fraz. Corcagnano),PR,0521 630003 / 347 9493286,rabittialessandro@libero.it,,,"stucchi decorativi, stucco mantovano, tinteggiature e imbiancature di edifici civili e capannoni industriali, velature, spugnature, decorazioni moderne e artistiche, cornici decorative",0,https://www.alessandrorabitti.it/,"sito aziendale alessandrorabitti.it, Pagine Gialle, Pagine Bianche, Virgilio Aziende; P.IVA: visura.pro; tel: tellows.it/num/0521630003 e misterimprese.it (Rabitti Alessandro, decoratore, Parma)"
Costruzioni Barbieri S.r.l. (Impresa Edile Barbieri),02104370347,"Via Paul Henry Spaak 29, 43124",Parma (fraz. Corcagnano),PR,0521 637117,costruzionibarbieri@libero.it,,,"rifacimento facciate, ristrutturazioni, opere murarie, ripristino cemento armato, lavori condominiali, tinteggiature interne ed esterne, ristrutturazione tetti, adeguamento sismico (21 anni di attivita)",0,https://www.impresabarbieriparma.it/,"sito aziendale impresabarbieriparma.it / costruzionibarbieri.it, Pagine Gialle; P.IVA: bluaziende.com / paginegialle.it (Impresa Edile di Barbieri Nicola, Corcagnano - corrisponde al sito impresabarbieriparma.it; la distinta Costruzioni Barbieri s.r.l. di Strada Langhirano ha P.IVA 01512280346); tel: PagineGialle 'Impresa Edile Barbieri Nicola' (Via P.H. Spaak 29, Corcagnano) + verifica diretta numero: intestato a Impresa Edile di Barbieri Nicola, Parma"
Deca Costruzioni e Ristrutturazioni S.r.l.,09261220967,"Viale Mentana 27, 43121",Parma,PR,0521 921679,,,,"ristrutturazione e rifacimento facciate, ristrutturazioni appartamenti, opere murarie, costruzioni edili (oltre 50 anni di esperienza nel settore; P.IVA 09261220967)",0,https://www.parmaristrutturazioni.it/,"sito aziendale parmaristrutturazioni.it, ufficiocamerale.it, Atoka, italiarecensioni.com"
Lanzafame S.r.l.,02099690345,"Via Giuseppe Varesi 1/A, 43126",Parma,PR,0521 988220,lanzafame@tin.it,,,"stucco veneziano e finiture effetto stucco, tinteggiature, impermeabilizzazioni edili, rifacimento e costruzione tetti e coperture, opere murarie (oltre 70 anni di attivita)",0,,"reteimprese.it, prontoimprese.it, Assimp Italia, Impresa Italia, Cylex; P.IVA: impresaitalia.info"
Vernizzi Finiture d'Interni,00187300348,"Via Giuseppe Meazza 36/A, 43122",Parma,PR,0521 481925,,,,"tinteggiature, trattamenti antimuffa, pareti e pavimenti in resina, stucchi decorativi, finiture decorative, cartongesso e controsoffitti, carta da parati (40 anni di attivita)",0,https://www.enricovernizzi.it/,"sito aziendale enricovernizzi.it, Pagine Gialle, Infoisinfo; P.IVA: paginegialle.it"
DB di Bee Daniele (impresa edile),02632590341,"Via Malosso 4, 43124",Parma,PR,335 7424012,beedaniele@gmail.com,,,"ristrutturazioni e manutenzioni edili, opere murarie, rifacimento tetto coibentato (isolamento), lavori di ristrutturazione per appartamenti, condomini e immobili commerciali (P.IVA 02632590341)",0,https://www.impresaedilebeedaniele.com/,sito aziendale impresaedilebeedaniele.com
RI.E.TI. S.r.l.,02203160342,"Via Copermio Ovest 59, 43052",Colorno,PR,348 2253807,rietisrl@libero.it,,,"tinteggiature civili e industriali interne ed esterne, imbiancature, stucchi veneziani, velature, spugnature, cartongesso, ristrutturazioni, isolamento termico (azienda storica attiva dagli anni '70; P.IVA 02203160342)",14.7,https://www.rietisrl.it/,"sito aziendale rietisrl.it, reteimprese.it, coobiz.it, kompass, fatturatoitalia.it"
RO.CE. S.r.l.,,Via Sandro Pertini 1,Fontanellato,PR,0521 347877 / 379 1542500 / 348 3644405,roce@rocesrl.it,,,"pavimenti in resina civili e industriali (epossidica, metacrilica, antiscivolo), rivestimenti in resina per settori alimentare, farmaceutico, logistico e chimico, impermeabilizzazioni edili (fondata da due tecnici con ventennale esperienza)",17,https://www.rocesrl.it/,"sito aziendale rocesrl.it, Virgilio Aziende; tel: rocesrl.it/contatti e catalogo.fiereparma.it (RO.CE. SRL, Via Sandro Pertini 1, Fontanellato)"
Emil Pav S.r.l.,02882520352,"Via Cesare Sarti 11, 43029",Traversetolo (sede amministrativa; sede legale a Poviglio RE),PR,0521 368905,clienti@emilpav.it,,,"pavimenti in resina civili e industriali, pavimentazioni in calcestruzzo, resine industriali per Parma, Reggio Emilia e Mantova (P.IVA 02882520352)",31.6,https://www.emilpav.it/,"sito aziendale emilpav.it, Empresite, fatturatoitalia.it, reteimprese.it"
,,,,,,,,,,,,
CANTIERI NAVALI E NAUTICA,,,,,,,,,,,,
Moto Shop S.n.c. di Buratti G. e C.,,"Via Sonnino, 39/a",Parma,PR,0521 292954,communications.yamaha@motoshopyamaha.com,,,Centro assistenza autorizzato Yamaha Marine - riparazione e manutenzione motori marini fuoribordo,0,,centriassistenza.org (rete assistenza Yamaha Marine)
A.R.P. - Autoricambi Rettifica Parmense S.r.l.,00161350343,"Via Francesco Lasagna, 9/A",Parma,PR,0521 272825,,,1971,Rettifica e revisione motori marini di imbarcazioni con intervento anche direttamente a bordo; manutenzione periodica e valutazioni tecniche motore (oltre a motori auto/industriali),0,https://www.arpparma.com,"arpparma.com, ufficiocamerale.it"
Marine Motors Service S.r.l. - Autonautica Emiliana (S.n.c.),,"Via Nazionale Est, 11",Collecchio,PR,0521 806193,,,,Officina nautica - riparazione e assistenza motori marini (entrobordo e fuoribordo),10.4,,"Misterimprese.it, telefono.click, Yelp"
Rio Center S.r.l.,03238300168,"Via Galileo Galilei, 15",Sissa Trecasali (loc. Sissa),PR,0521 879820,,,2005,"Cantiere nautico - costruzione di imbarcazioni da diporto e sportive (ATECO 30.12); cantiere operativo a Sissa, sede legale a Bergamo (gruppo Rio)",22,https://www.europages.it/RIO-CENTER-SRL/SEAC008129637-001.html,"PagineGialle/PagineBianche, Europages, Reportaziende.it"
Associazione Nautica Torricella A.S.D. - A.P.S. (gestore Porto turistico fluviale regionale di Torricella),,Via Fossa Caprara / Loc. Torricella 110,"Sissa Trecasali (loc. Torricella, fiume Po)",PR,0521 379019 / 335 5491829,info@nauticatorricella.it,,,"Rimessaggio e ormeggio (250 posti barca 3-10 m), scivolo di alaggio con verricello elettrico, gru fissa fino a 2000 kg, centro assistenza barche e motori, distributore carburante in banchina; ente associativo, non societa di capitali",0,https://www.nauticatorricella.it,"nauticatorricella.it, parmawelcome.it, Comune di Sissa Trecasali; tel: Yelp (Associazione Nautica Torricella, Loc. Torricella 110, Sissa) e incampercongusto.it"
Sani Riccardo,,"Via Torricella, 31",Sissa Trecasali (loc. Torricella),PR,,,,,Servizi nautici / assistenza imbarcazioni presso il porto fluviale di Torricella sul Po (categoria nautica; attivita specifica da verificare),0,,"aziende.virgilio.it (categoria Nautica, Torricella PR)"
