Denominazione,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
G.A. Tinteggi di Gnani Aider,"Via Premuda, 19 - 42123",Reggio Emilia,RE,+39 338 9595532,gatinteggi@gmail.com,,,"tinteggiature interne ed esterne civili e industriali, imbiancature, cartongesso, trattamenti antimuffa, ripristino scuri",0,https://www.gatinteggi.it/,"sito aziendale gatinteggi.it, yellow.place"
Reggiana Tinteggi,"Via Cesare Campioli, 22 - 42124",Reggio Emilia,RE,+39 340 7687351,reggianatinteggi@gmail.com,,,"tinteggiature interne ed esterne, imbiancature, decorazioni, cartongesso, ristrutturazioni chiavi in mano",0,https://www.reggianatinteggi.it/,sito aziendale reggianatinteggi.it
Pittori Cabassi Srl (Cabassi Domus),"Via Enrico Ferri, 16 - 42124",Reggio Emilia (loc. Sesso),RE,0522 531948,,,1960,"imbiancature, tinteggiature interne ed esterne, tinteggiatura facciate, restauro conservativo, cartongesso, isolamento termico",0,https://www.pittoricabassi.com/ | https://www.cabassidomus.it/,"sito aziendale cabassidomus.it/pittoricabassi.com, Imbianchino24"
MasterPaint Ristruttura,"Via Vittorio Marchi, 17 - 42122",Reggio Emilia,RE,+39 347 2387198,info@masterpaint.it,,2007,"tinteggiature civili e industriali, tinteggiatura facciate condominiali, ripristino facciate e balconi, opere murarie, ristrutturazioni, stucchi decorativi",0,https://www.masterpaint.it/,"sito aziendale masterpaint.it, Edilnet, Edilportale"
Braglia Giorgio Stucchi d'Arte,"Via Antica, 2/2 - 42123",Reggio Emilia,RE,0522 371961,,,,"stucchi decorativi, decorazioni in scagliola, fregi e cornici",0,http://www.bragliastucchidarte.it/,"ReteImprese, Impresa Italia, MisterImprese"
F.D. Costruzioni Srl,"Via Fratelli Rosselli, 5/D - 42123",Reggio Emilia,RE,347 1833033,fd.costruzioni.re@gmail.com,,,"opere murarie piccole e grandi, costruzioni e ristrutturazioni di appartamenti e ville, edilizia residenziale e commerciale",0,https://www.fd-costruzioni.com/,"sito aziendale fd-costruzioni.com, registroaziende.it (P.IVA 02620280350)"
Tricolor Tinteggi,"Via Vincenzo Monti, 15/B - 42122",Reggio Emilia,RE,0522 1549247,tricolortinteggi@gmail.com,,,"tinteggiature per interni ed esterni, imbiancature per privati e aziende, negozio vernici e colori",0,https://www.tricolortinteggi.it/,"sito aziendale tricolortinteggi.it, MisterImprese (P.IVA 02486160357)"
CO.RIS. Costruzioni e Ristrutturazioni,"Via Pier Giacinto Terrachini, 31/B - 42122",Reggio Emilia,RE,338 4505159,co.ris.ristrutturazioni@gmail.com,,,"costruzioni, ristrutturazioni chiavi in mano, opere murarie, decori da interni, controsoffitti, impianti",0,https://www.corisristrutturazioni.it/,"sito aziendale corisristrutturazioni.it, Trova Aperto"
Rivi Costruzioni Srl,"Via Umberto Cantù, 12 - 42122",Reggio Emilia,RE,0522 345175 / 335 6254088,info@rivicostruzioni.it,,,"opere murarie, restauri interni ed esterni anche su immobili storici vincolati alle Belle Arti, ristrutturazioni, nuove costruzioni, manutenzioni",0,https://www.rivicostruzioni.it/,"sito aziendale rivicostruzioni.it, Pagine Gialle, ufficiocamerale.it (P.IVA 02255210359)"
F & F Costruzioni Generali Srl,"Via Fratelli Cervi, 130 - 42124",Reggio Emilia,RE,0522 506234,info@fef-srl.it,,,"costruzioni e ristrutturazioni, edilizia civile, commerciale e industriale, opere murarie, impiantistica",0,https://fefcostruzionigenerali.it/,"sito aziendale fefcostruzionigenerali.it, ufficiocamerale.it (P.IVA 02066080355), Atoka"
