Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Etika Cooperativa Sociale (Etika Coop Multiservice),03762420127,Via Ernesto Cairoli 5,Varese,VA,,,,,"imbiancature di interni ed esterni, stuccature, verniciature edili, cartongesso, rifacimento facciate, cappotti termici, ristrutturazioni chiavi in mano",0,https://www.etikaristrutturazioni.it,"etikaristrutturazioni.it, ufficiocamerale.it (P.IVA 03762420127)"
Impresa Edile Habib,,,Varese,VA,,,,,"cappotti termici (isolamento a cappotto), opere edili, ristrutturazioni",0,https://impresaedilehabib.it,impresaedilehabib.it
Impresa Edile Aliu,,,Varese,VA,,,,,"cappotto termico, rasatura, opere murarie, ristrutturazioni edili",0,https://impresaedilealiu.it,impresaedilealiu.it
Luca Simonetto Decorazioni,,Via Gallarate 16,Gazzada Schianno,VA,347 5416303,info@lucasimonettodecorazioni.it,,,"imbiancatura, tinteggiatura, verniciatura, decorazioni, isolamenti termici a cappotto, controsoffitti",4.7,https://www.lucasimonettodecorazioni.it,lucasimonettodecorazioni.it
Deimar Decor,02781900127,Via Cavour 8,Castronno,VA,0332 895054,deimardecor@virgilio.it,,,"rifacimento facciate, imbiancature, pavimenti in resina, impermeabilizzazioni, risanamento umidità, cartongessi",3.6,https://www.deimardecor.com,deimardecor.com (P.IVA 02781900127)
SGM Impresa Edile di Andrea Alario,,,Castiglione Olona,VA,346 3134343,,,,"rifacimento facciate e balconi, opere murarie, muratura e cartongesso, imbiancatura, isolamenti e cappotti termici, ristrutturazioni interne",4.4,https://www.sgmimpresaedile.com,sgmimpresaedile.com
Impresa Edile Deda Altin,02763680127,Via Enrico Toti 13,Malnate,VA,347 8158974,info@impresaedilededaaltin.it,,2003,"rifacimento facciate, rifacimento tetti, ristrutturazioni complete, nuove costruzioni, opere murarie, ristrutturazione bagni",5.3,https://www.impresaedilededaaltin.it,"impresaedilededaaltin.it, ufficiocamerale.it (P.IVA 02763680127)"
Galesi Tinteggiature,,Via Carlo Rossini 70,Tradate,VA,347 8777107,,,,"tinteggiature, verniciature, stucchi decorativi, finiture decorative anticate",10.5,,paginegialle.it (ricerca imbianchini Tradate)
Imbiancature Zuin Luca,,Via Solferino 6,Cassano Magnago,VA,0331 1354888,,,,"imbiancatura, tinteggiature civili e industriali interne ed esterne, cartongesso, facciate",7.7,https://www.imbiancaturezuin.it,imbiancaturezuin.it
Teknai S.r.l.,,Corso Leonardo da Vinci 48,Gallarate,VA,0331 307762,info@teknai.it,,,"pavimenti in resina civili e industriali, pareti e rivestimenti in resina, vendita materiali e sistemi di posa resine, corsi per posatori",3.1,https://www.teknai.it,"teknai.it, archisio.it"
GAMA Tinteggiature di Mirko Romagnolo,03565890120,Viale della Repubblica 35,Busto Arsizio,VA,,,,1981,"tinteggiature interne ed esterne, imbiancature civili commerciali e industriali, rifacimento facciate, cappotto termico, decorazioni di pregio e stucchi",7,https://gamatinteggiature.com,"gamatinteggiature.com, ufficiocamerale.it (P.IVA 03565890120)"
MIDI Ristrutturazioni,,,Busto Arsizio,VA,393 8829417,,,,"rifacimento facciate, ristrutturazioni edili complete, opere murarie",0,https://midiristrutturazioni.it,midiristrutturazioni.it
Robi Tinteggiature di Roberto Zaffino,,Via Como 118,Marnate,VA,347 7404706,info@robi-tinteggiature.it,,,"tinteggiatura e verniciatura civile e industriale, imbiancature, rivestimenti a cappotto termico, resine, sabbiatura, cartongesso, opere murarie, posa carta da parati",4.3,https://www.robi-tinteggiature.it,"robi-tinteggiature.it, reteimprese.it"
Caspani S.r.l.,13174660152,Via Saronnino 70/7 (sede operativa; sede legale a Saronno),Origgio,VA,02 96731675,,,2000,"imbiancature e tinteggiature civili e industriali, cartongesso, pareti tagliafuoco, pitture ecoattive e fotocatalitiche, tecniche decorative, isolamento termico e acustico",10,https://www.caspanisrl.it,"caspanisrl.it, kompass.com, reportaziende.it (P.IVA 13174660152)"
F.P.R. di Francabandera Paolo,02371580123,Via Fabio Filzi 20,Saronno,VA,02 9620364,impresaedilefpr@tiscali.it,,,"rifacimento facciate, rivestimenti a cappotto interni ed esterni, ristrutturazioni edili, opere murarie, rifacimento esterni, pavimenti e rivestimenti",3.5,https://www.fpristrutturazione.com,"fpristrutturazione.com, reteimprese.it (P.IVA 02371580123)"
Edil Racco,,Via Nazario Sauro 18,Laveno-Mombello,VA,0332 662168,,,,"imbiancatura pareti interne ed esterne, ristrutturazioni edili, opere murarie, ristrutturazione bagni",45.3,https://edilracco.it,"edilracco.it, reteimprese.it"
,,,,,,,,,,,,
CANTIERI NAVALI E NAUTICA,,,,,,,,,,,,
F. & B. Nautica di Ferioli,,"Piazza Bossi 37, Porto Ceresio (sede operativa: Via Pirandello 14, Bisuschio)",Porto Ceresio,VA,0332 470100,,,,"Cantiere nautico sul Lago Ceresio: manutenzione ordinaria e straordinaria di scafi e motori entro/fuoribordo, riparazioni, rimessaggio, costruzione e restauro barche in legno, darsena con 80 posti barca",11.1,https://febnautica.it/,https://febnautica.it/ ; https://www.paginebianche.it/bisuschio/f-b-ferioli-gianangelo-c-nautica.990710
Cantiere Nautico Ceresio,,"Via Mazzini, 21050 Porto Ceresio",Porto Ceresio,VA,,,,,"Cantiere nautico di riferimento in Valceresio sul Lago di Lugano: riparazioni, manutenzioni, installazioni e vendita imbarcazioni",0,,https://en.yacht4web.com/companies/cantiere-nautico-ceresio
