Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpUseTrailing,InpTrailTF,InpTrailFixedPts,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpTrailMode,InpTrailAtrMult,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
84,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,1,800,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
12,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,1,200,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
72,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,1,700,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
24,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,1,300,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
36,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,1,400,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
0,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,1,100,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
48,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,1,500,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
60,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,1,600,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
73,-376.98,-1.44992,0.89924,-0.41905,-5.00000,8.7337,260,1,1,700,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
13,-376.98,-1.44992,0.89924,-0.41905,-5.00000,8.7337,260,1,1,200,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
