Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpOpeningRangeMinutes,InpMinimumBuyGapPercent,InpMinimumSellGapPercent,InpFinalTargetR,InpSessionTimeMode,InpSessionOpenHour,InpSessionOpenMinute,InpSessionCloseHour,InpSessionCloseMinute,InpMaxEntryMinutesFromOpen,InpExitMinutesBeforeClose,InpEnableBuyGaps,InpEnableSellGaps,InpUseRealVolumeIfAvailable,InpMaxSpreadPoints,InpMaxSpreadToStopPercent,InpStopBufferPoints,InpBuyRiskPercent,InpSellRiskPercent,InpReduceRiskOnSmallSellGap,InpSellFullRiskFromGapPct,InpSmallSellRiskPercent,InpFixedLots,InpMaxLots,InpPartialClosePercent,InpPartialTargetR,InpMoveStopToBreakEven,InpMagicNumber,InpMaxSlippagePoints,InpShowStatusOnChart,InpPrintDailyDiagnostics,InpComment
18,10322.23,77.03157,1.28830,1.72167,6.12104,5.5707,134,-1.0014,-3145,-3144.95,5,0.50,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
6,5293.30,50.89712,1.18491,0.71172,4.02389,7.0588,104,-1.0005,-4325,-4324.84,5,1.00,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
36,17616.08,121.49021,1.45142,3.05186,8.32156,5.1419,145,-1.0014,-3512,-3511.79,5,0.50,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
12,12998.98,113.03461,1.45567,2.33087,8.80119,5.0200,115,-1.0007,-3488,-3488.08,5,0.75,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
0,9970.16,66.02755,1.24440,1.24828,4.99544,7.3310,151,-1.0011,-4442,-4442.44,5,0.50,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
42,11504.59,117.39378,1.43290,2.10026,8.32854,5.0624,98,-1.0004,-3425,-3424.56,5,1.00,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
30,15720.52,129.92165,1.49913,2.36114,8.33355,5.9645,121,-1.0004,-4575,-4575.18,5,0.75,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
24,5646.62,64.90368,1.23756,1.02499,5.62821,5.2931,87,-1.0001,-3062,-3061.56,5,1.00,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
19,16375.43,144.91531,1.54182,1.73763,9.48226,8.2628,113,-1.0016,-6559,-6558.79,10,0.50,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
37,15167.67,123.31439,1.42918,1.42985,6.87572,9.0864,123,-1.0015,-6936,-6935.79,10,0.50,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
7,2556.75,28.09615,1.09065,0.18103,1.77621,12.9911,91,-1.0010,-7346,-7345.68,10,1.00,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
1,10857.92,84.16992,1.29135,0.85708,5.28559,11.0958,129,-1.0014,-7718,-7718.26,10,0.50,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
43,7437.18,87.49624,1.28110,0.58211,4.89324,11.3665,85,-1.0004,-6666,-6665.68,10,1.00,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
13,11577.42,114.62792,1.41337,1.01781,7.21135,9.9523,101,-1.0015,-6850,-6850.00,10,0.75,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
31,11998.98,112.14000,1.38461,0.95345,6.12940,10.8082,107,-1.0011,-8006,-8006.10,10,0.75,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
25,7727.28,103.03040,1.36068,0.79958,6.98885,8.8995,75,-1.0016,-6242,-6241.70,10,1.00,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
20,12988.44,128.59842,1.49085,1.05297,7.90619,10.8424,101,-1.0018,-6543,-6543.23,15,0.50,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
38,11744.85,106.77136,1.38358,0.86833,5.98026,11.7686,110,-1.0019,-6947,-6947.22,15,0.50,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
8,-681.08,-8.10810,0.97447,-0.04123,-0.52359,15.3869,84,-1.0006,-7363,-7362.67,15,1.00,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
44,4770.67,61.16244,1.19392,0.31119,3.61136,13.8516,78,-1.0019,-6681,-6681.02,15,1.00,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
2,7449.13,64.21664,1.22541,0.47748,3.92066,13.7970,116,-1.0010,-7767,-7766.59,15,0.50,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
14,7739.35,84.12337,1.29410,0.52683,5.21880,12.9749,92,-1.0018,-6853,-6852.65,15,0.75,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
26,4415.05,63.98623,1.21672,0.33812,4.24101,12.0910,69,-1.0017,-6206,-6206.02,15,1.00,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
32,6832.47,69.71908,1.23379,0.42984,3.96517,14.0523,98,-1.0012,-7819,-7818.85,15,0.75,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
21,11845.79,113.90183,1.45397,2.35869,8.92309,4.6172,104,-1.0007,-3189,-3189.41,5,0.75,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
39,17323.70,150.64087,1.59987,3.06879,10.05432,4.9889,115,-1.0005,-3533,-3533.19,5,0.75,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
9,11516.65,79.42517,1.30070,1.93537,6.29043,5.4408,145,-1.0015,-3439,-3439.05,5,0.50,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
45,17549.14,130.96373,1.47762,3.20302,9.03125,4.9256,134,-1.0011,-3229,-3229.28,5,0.50,1.00,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
3,11437.11,94.52157,1.36755,1.71931,6.97559,6.0651,121,-1.0005,-4508,-4508.44,5,0.75,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
27,16038.41,106.21464,1.38589,2.30554,7.05465,6.2709,151,-1.0013,-4542,-4541.99,5,0.50,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
15,6814.96,69.54041,1.26074,1.24099,5.90902,5.1917,98,-1.0000,-3366,-3365.82,5,1.00,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
33,9960.17,95.77087,1.34224,1.54560,6.45371,6.0375,104,-1.0000,-4419,-4418.62,5,1.00,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
40,14033.99,138.95040,1.49068,1.26053,7.66239,9.5259,101,-1.0009,-7030,-7030.43,10,0.75,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
10,12875.36,104.67772,1.37046,1.15165,6.69120,9.7532,123,-1.0010,-6777,-6777.33,10,0.50,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
22,15054.54,165.43451,1.64096,1.79928,10.76067,7.3378,91,-1.0004,-6619,-6618.83,10,0.75,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
4,9596.93,89.69093,1.31403,0.75118,5.54315,11.2202,107,-1.0010,-7796,-7796.30,10,0.75,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
28,13117.67,101.68736,1.34627,1.07990,5.63730,10.4451,129,-1.0015,-7890,-7889.64,10,0.50,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
46,18730.37,165.75549,1.60957,2.11922,9.34536,7.6087,113,-1.0014,-6701,-6700.54,10,0.50,1.00,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
16,4419.06,51.98894,1.17161,0.34462,3.36564,11.7492,85,-1.0011,-6452,-6451.92,10,1.00,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
34,5500.08,60.44044,1.18986,0.38904,3.34511,12.6266,91,-1.0011,-7591,-7590.98,10,1.00,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
41,9445.46,102.66804,1.35590,0.64736,5.79484,12.7777,92,-1.0016,-6925,-6924.76,15,0.75,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
11,10085.81,91.68918,1.33185,0.73235,5.58904,12.0628,110,-1.0015,-6876,-6876.28,15,0.50,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
5,5152.84,52.58000,1.17773,0.32238,3.26565,14.2516,98,-1.0012,-7738,-7737.51,15,0.75,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
23,10589.30,127.58193,1.47231,0.86272,8.04821,10.8797,83,-1.0005,-6520,-6520.13,15,0.75,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
29,9082.59,78.29819,1.27291,0.59067,4.42828,13.5072,116,-1.0017,-7842,-7842.40,15,0.50,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
47,14709.08,145.63446,1.55190,1.18068,8.19243,10.8406,101,-1.0010,-6610,-6609.51,15,0.50,1.00,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
