Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMinimumBuyGapPercent,InpMinimumSellGapPercent,InpSessionTimeMode,InpSessionOpenHour,InpSessionOpenMinute,InpSessionCloseHour,InpSessionCloseMinute,InpOpeningRangeMinutes,InpMaxEntryMinutesFromOpen,InpExitMinutesBeforeClose,InpEnableBuyGaps,InpEnableSellGaps,InpUseRealVolumeIfAvailable,InpMaxSpreadPoints,InpMaxSpreadToStopPercent,InpStopBufferPoints,InpBuyRiskPercent,InpSellRiskPercent,InpReduceRiskOnSmallSellGap,InpSellFullRiskFromGapPct,InpSmallSellRiskPercent,InpFixedLots,InpMaxLots,InpPartialClosePercent,InpPartialTargetR,InpFinalTargetR,InpMoveStopToBreakEven,InpMagicNumber,InpMaxSlippagePoints,InpShowStatusOnChart,InpPrintDailyDiagnostics,InpComment
3,-3378.66,-96.53314,0.78662,-0.26696,-5.00000,11.9377,35,-1.0015,-10138,-10138.21,1.75,1.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
0,7542.65,109.31377,1.36274,0.58075,6.53225,11.7765,69,-1.0008,-6360,-6360.48,1.00,1.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
9,-1470.93,-56.57423,0.86913,-0.16868,-3.12076,8.3607,26,-1.0018,-7214,-7213.74,2.00,1.25,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
6,1073.07,28.23868,1.08020,0.11326,1.53020,8.9698,38,-1.0004,-8090,-8090.28,1.25,1.25,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
18,-890.92,-38.73565,0.91298,-0.12472,-1.91795,6.9158,23,-1.0005,-6214,-6213.85,1.75,1.75,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
12,687.33,21.47906,1.05580,0.07769,1.14668,8.4556,32,-1.0004,-8055,-8054.68,1.50,1.50,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
21,-562.19,-17.03606,0.95370,-0.06961,-0.87521,7.8666,33,-1.0012,-6928,-6927.89,1.25,2.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
15,10285.09,180.44018,1.68628,1.11162,10.46086,8.4552,57,-1.0014,-6351,-6350.66,1.00,1.75,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
4,-3378.66,-96.53314,0.78662,-0.26696,-5.00000,11.9377,35,-1.0015,-10138,-10138.21,2.00,1.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
10,9201.85,158.65259,1.57578,0.89750,9.35235,9.3683,58,-1.0013,-6351,-6350.66,1.00,1.50,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
