Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpGapMinPoints,InpGapMinRR,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailStartR,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpUseVolRegime,InpVolAtrPeriod,InpVolLookback,InpVolLowPct,InpVolHighPct,InpVolLowOffMult,InpVolHighOffMult,InpVolLowSlMult,InpVolHighSlMult,InpVolHighSizeMult,InpUseSRFilter,InpSRProximityPts,InpSRUsePrevDay,InpSRUseRoundNumbers,InpSRRoundInterval,InpMagic,InpMaxSpread,InpVerbose
8,12106.96,366.87758,2.49755,2.62368,38.35430,4.3580,33,-1.0873,-2184,-2184.45,20,1.0,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
12,9518.96,366.11385,2.17566,2.11611,37.40778,4.3056,26,-1.0864,-1516,-1515.69,0,1.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
14,10669.78,426.79120,2.53613,2.37195,42.71233,4.3056,25,-1.0864,-1516,-1515.69,20,1.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
10,9652.12,344.71857,2.21144,2.12359,36.75962,4.3604,28,-1.0873,-2152,-2152.47,40,1.0,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
6,10947.07,321.97265,2.18418,2.37232,34.02009,4.3580,34,-1.0873,-2184,-2184.45,0,1.0,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
4,11336.94,283.42350,2.02791,2.46639,31.70236,4.4098,40,-1.0854,-2184,-2184.45,40,0.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
2,13817.24,307.04978,2.23396,2.95748,33.44374,4.4124,45,-1.0909,-2230,-2229.50,20,0.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
0,12830.67,272.99298,2.03602,2.74631,30.34837,4.4124,47,-1.0909,-2230,-2229.50,0,0.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
13,9518.96,366.11385,2.17566,2.11611,37.40778,4.3056,26,-1.0864,-1516,-1515.69,10,1.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
9,9652.12,344.71857,2.21144,2.12359,36.75963,4.3604,28,-1.0873,-2152,-2152.47,30,1.0,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
