Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpAdxMin,InpAllowLong,InpAllowShort,InpAtrSLmult,InpTP_R,InpTimeframe,InpEmaFast,InpEmaMid,InpEmaSlow,InpEmaSlopeBars,InpRequireAlignment,InpCrossLookback,InpHACount,InpHAWickRatio,InpHABodyFactor,InpAdxPeriod,InpAdxRising,InpRequireDI,InpMaxDistATR,InpMinRR,InpEntryMode,InpPullbackRef,InpPendingExpiryBars,InpSLMode,InpSwingLookback,InpAtrPeriod,InpSLBufferPts,InpPartialR,InpPartialPct,InpBreakeven,InpTrailMode,InpTrailAtrMult,InpExitOnCross,InpExitOnHAflip,InpRiskPercent,InpMaxTradesPerDay,InpStopAfterLosses,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
49,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,20,0,0,2.5,1.5,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
241,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,20,0,0,2.5,3.0,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
176,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,15,0,0,2.5,2.5,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
219,-37.99,-2.23471,0.86923,-0.19007,-0.28120,1.9791,17,30,0,1,1.5,3.0,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
198,32.57,1.08567,1.06789,0.13240,0.26598,2.4231,30,25,1,0,1.0,3.0,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
154,29.75,1.65278,1.10073,0.14560,0.20921,2.0088,18,25,0,1,1.5,2.5,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
212,97.45,2.70694,1.18114,0.38960,0.71823,2.4582,36,15,1,0,1.5,3.0,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
180,70.42,2.13394,1.13091,0.28153,0.50544,2.4553,33,15,1,0,2.5,2.5,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
24,34.22,1.71100,1.09169,0.12127,0.27473,2.7522,20,15,0,1,1.5,1.5,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
60,99.04,1.94196,1.10686,0.23951,0.42174,3.9793,51,15,1,1,2.5,1.5,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
157,59.74,1.21918,1.06931,0.14454,0.28384,3.9864,49,20,1,1,1.5,2.5,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
115,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,30,0,0,2.5,2.0,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
5,94.55,3.15167,1.19369,0.37374,0.84155,2.4739,30,20,1,0,1.0,1.5,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
79,107.43,2.49837,1.18081,0.38135,0.56682,2.7380,43,30,1,1,1.0,2.0,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
174,60.80,1.32174,1.07838,0.17975,0.27994,3.2872,46,25,1,1,2.0,2.5,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
179,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,30,0,0,2.5,2.5,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
74,78.64,4.13895,1.25909,0.37005,0.61281,2.0752,19,25,0,1,1.0,2.0,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
213,52.29,1.80310,1.10713,0.20670,0.45139,2.4810,29,20,1,0,1.5,3.0,16388,9,21,50,3,1,8,3,0.3,0.6,14,1,1,1.5,1,0,0,3,0,10,14,0,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,770301,0,1
