data;ampiezza_notte_pts;ora_massimo;ora_minimo;ordine;escursione_ora_2_pts;quota_su_notte_%;sessione_rompe;punti_oltre
2025.02.28;530;6;6;MIN poi MAX;0;0.0;MIN;2922
2025.03.03;1744;0;4;MAX poi MIN;791;45.4;MIN;49
2025.03.03;1334;22;2;MAX poi MIN;1116;83.7;MAX;3261
2025.03.04;1685;6;3;MIN poi MAX;1169;69.4;MAX;1075
2025.03.05;1194;3;6;MAX poi MIN;981;82.2;MIN;2347
2025.03.06;1679;0;1;MAX poi MIN;872;51.9;MAX;1692
2025.03.10;1142;2;6;MAX poi MIN;700;61.3;MIN;1130
2025.03.10;2017;3;2;MIN poi MAX;1067;52.9;MAX;2164
2025.03.11;922;4;2;MIN poi MAX;660;71.6;MIN;470
2025.03.12;1313;4;23;MIN poi MAX;507;38.6;MIN;113
2025.03.13;1230;5;2;MIN poi MAX;852;69.3;MIN;318
2025.03.17;1187;0;6;MAX poi MIN;444;37.4;MAX;713
2025.03.17;1788;5;2;MIN poi MAX;901;50.4;MAX;2107
2025.03.18;1799;6;2;MIN poi MAX;540;30.0;MIN;455
2025.03.19;1276;5;6;MAX poi MIN;705;55.3;MIN;1905
2025.03.20;2588;1;6;MAX poi MIN;871;33.7;MIN;2216
2025.03.24;1256;0;3;MAX poi MIN;756;60.2;MAX;702
2025.03.24;1381;6;3;MIN poi MAX;415;30.1;MAX;1489
2025.03.25;1390;3;6;MAX poi MIN;908;65.3;MAX;492
2025.03.26;2103;5;0;MIN poi MAX;546;26.0;MAX;2128
2025.03.27;2794;6;0;MIN poi MAX;1232;44.1;MAX;468
2025.03.30;4320;6;2;MIN poi MAX;1864;43.1;MAX;731
2025.03.31;2902;6;0;MIN poi MAX;1172;40.4;MIN;1917
2025.04.01;2783;3;23;MIN poi MAX;1382;49.7;nessuno;0
2025.04.02;4361;0;6;MAX poi MIN;1510;34.6;MIN;6973
2025.04.03;2978;23;4;MAX poi MIN;659;22.1;MIN;7000
2025.04.06;8502;3;1;MIN poi MAX;8268;97.2;nessuno;0
2025.04.07;2969;6;0;MIN poi MAX;1957;65.9;MAX;1445
2025.04.08;5087;6;0;MIN poi MAX;3741;73.5;MAX;7012
