Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpBufferPoints,InpSLMode,InpBoxStartHour,InpBoxStartMin,InpBoxEndHour,InpBoxEndMin,InpMinBoxPts,InpMaxBoxPts,InpPlaceHour,InpPlaceMin,InpEntryCutoffHour,InpEntryCutoffMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMgmtTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP2_R,InpTP2Pct,InpUseEMA200Target,InpEMA200Period,InpTPfinal_R,InpUseTrailing,InpTrailAtrMult,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
2,-142.18,-3.64564,0.73222,-0.34791,-3.13005,4.0557,39,1400,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,5,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
3,-79.73,-3.62409,0.77005,-0.22577,-1.97336,3.4840,22,2000,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,5,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
1,82.71,0.81088,1.11564,0.13895,1.24073,5.7991,102,800,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,5,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
4,-880.69,-2.46692,0.92245,-0.31745,-3.93425,26.4983,357,200,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,5,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
6,535.64,9.39719,1.32754,0.81283,14.63971,5.9650,57,1400,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,5,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
0,1242.59,2.83696,1.48712,2.60228,5.02872,4.3158,438,200,0,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,5,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
5,1082.49,10.02306,1.32775,1.35196,14.41866,7.2768,108,800,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,5,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
7,21.83,0.66152,1.01836,0.03705,1.03763,5.5531,33,2000,1,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,5,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
10,107.29,1.55493,1.12583,0.41974,2.82975,2.5356,69,1400,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,5,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
11,-135.40,-3.47179,0.82607,-0.44170,-5.00000,3.0537,39,2000,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,5,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
9,355.56,2.50394,1.29775,0.79558,4.70630,4.3539,142,800,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,5,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
8,933.30,1.94438,1.32824,1.65449,3.89385,5.1970,480,200,2,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,5,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770401,0,1
