Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSLDailyATRMult,InpTP_R,InpEntryHourServer,InpTF,InpATRPeriodD1,InpCloseHourServer,InpEntryWindowMin,InpUseATRFilter,InpMinDayATR,InpAllowLong,InpAllowShort,InpRiskPercent,InpMagic,InpComment,InpVerbose
3,-19913.77,-59.80111,0.88125,-0.85739,-1.28993,22.8068,333,-1.0297,-8264,-8263.68,0.50,1.5,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
9,-13926.75,-41.82207,0.91904,-0.71722,-0.74710,19.0552,333,-1.0291,-8539,-8538.67,0.50,2.5,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
15,-10969.35,-32.94099,0.92355,-0.50350,-0.90901,21.3534,333,-1.0295,-6915,-6914.80,0.50,1.5,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
18,-7571.49,-22.73721,0.94767,-0.32805,-0.55396,22.5203,333,-1.0298,-6845,-6845.11,0.50,2.0,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
21,-139.38,-0.41856,0.99906,-0.00612,-0.00930,22.1221,333,-1.0285,-6882,-6882.31,0.50,2.5,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
12,675.16,2.02751,1.00475,0.04905,0.06882,13.4031,333,-1.0290,-4827,-4869.66,0.50,1.0,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
0,-17541.71,-52.67781,0.88901,-0.75846,-1.38477,22.1368,333,-1.0300,-8822,-8821.59,0.50,1.0,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
6,-19873.41,-59.67991,0.88197,-0.85501,-1.15633,22.8099,333,-1.0298,-8179,-8179.37,0.50,2.0,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
10,-8226.95,-24.70556,0.93865,-0.50709,-0.49846,15.3561,333,-1.0195,-6891,-6891.20,0.75,2.5,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
16,-7420.97,-22.28520,0.93393,-0.42744,-0.65268,17.1868,333,-1.0194,-6779,-6778.91,0.75,1.5,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
19,-1598.57,-4.80051,0.98611,-0.09506,-0.13092,16.5671,333,-1.0189,-6835,-6834.54,0.75,2.0,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
13,-11719.92,-35.19495,0.89453,-0.69053,-1.19580,16.8833,333,-1.0191,-6772,-6772.20,0.75,1.0,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
4,-14809.69,-44.47354,0.88686,-0.79666,-0.99278,18.0617,333,-1.0199,-6586,-6585.85,0.75,1.5,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
22,-480.53,-1.44303,0.99582,-0.02770,-0.03821,17.0542,333,-1.0196,-6821,-6820.93,0.75,2.5,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
11,-9153.71,-27.48862,0.91203,-0.57307,-0.67606,15.0472,333,-1.0170,-6341,-6341.26,1.00,2.5,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
1,-16299.56,-48.94763,0.87330,-0.80470,-1.24140,19.6795,333,-1.0187,-6579,-6579.40,0.75,1.0,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
17,-5443.17,-16.34586,0.93992,-0.38131,-0.54920,14.0715,333,-1.0157,-6136,-6135.98,1.00,1.5,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
7,-9271.96,-27.84372,0.93081,-0.58597,-0.57622,15.0470,333,-1.0195,-6921,-6921.28,0.75,2.0,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
20,-5576.31,-16.74568,0.93829,-0.38909,-0.54923,14.1492,333,-1.0183,-6127,-6127.39,1.00,2.0,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
14,-10462.69,-31.41949,0.88224,-0.67699,-1.15565,15.3473,333,-1.0126,-6106,-6105.82,1.00,1.0,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
5,-7907.49,-23.74622,0.92433,-0.54984,-0.59376,13.6199,333,-1.0175,-6362,-6362.00,1.00,1.5,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
23,-6622.18,-19.88643,0.92645,-0.46207,-0.65355,14.1492,333,-1.0183,-6127,-6127.39,1.00,2.5,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
8,-9069.74,-27.23646,0.91263,-0.62083,-0.67273,13.9302,333,-1.0170,-6293,-6292.73,1.00,2.0,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
2,-13616.59,-40.89066,0.86638,-0.79108,-1.12610,16.7172,333,-1.0161,-6075,-6075.21,1.00,1.0,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
