Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpRangeMinutes,InpRetestOffsetPts,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
10,-2904.51,-7.10149,0.75926,-0.91136,-5.00000,31.6346,409,5,200,8,0,17,30,1,1,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770101,0,1
12,135.57,0.33147,1.01361,0.11237,0.49857,11.1094,409,25,200,8,0,17,30,1,1,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770101,0,1
0,-1587.45,-3.81599,0.87159,-0.68655,-5.00000,22.6076,416,5,0,8,0,17,30,1,1,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770101,0,1
14,280.57,0.70143,1.02914,0.16322,1.02719,15.2019,400,45,200,8,0,17,30,1,1,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770101,0,1
2,387.22,0.93306,1.03816,0.25830,1.38542,13.1873,415,25,0,8,0,17,30,1,1,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770101,0,1
8,1284.62,3.18764,1.13120,0.89016,4.55830,12.1143,403,35,100,8,0,17,30,1,1,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770101,0,1
6,-364.03,-0.87930,0.96790,-0.24305,-1.31238,13.5764,414,15,100,8,0,17,30,1,1,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770101,0,1
4,72.42,0.17620,1.00736,0.03867,0.25631,17.0921,411,45,0,8,0,17,30,1,1,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770101,0,1
11,-1336.03,-3.25861,0.87987,-0.83190,-5.00000,15.7829,410,15,200,8,0,17,30,1,1,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770101,0,1
15,-2282.48,-5.64970,0.81814,-0.88631,-5.00000,25.5781,404,5,300,8,0,17,30,1,1,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770101,0,1
