Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpRangeMinutes,InpBufferPoints,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
10,-931.44,-3.74072,0.88298,-0.51287,-5.00000,17.1163,249,5,500,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
0,-290.12,-1.13773,0.96662,-0.19525,-1.84282,13.6426,255,5,100,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
6,-1857.53,-7.61283,0.71163,-0.76803,-5.00000,22.9007,244,15,300,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
12,-1423.72,-5.93217,0.76177,-0.86856,-5.00000,16.1306,240,25,500,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
4,0.01,0.00004,1.00000,0.00001,0.00007,11.6211,234,45,100,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
8,-194.42,-0.82034,0.96304,-0.18803,-1.32026,10.0239,237,35,300,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
14,-437.43,-1.91017,0.90812,-0.49064,-3.33266,8.7694,229,45,500,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
2,-1636.71,-6.59964,0.73568,-0.76691,-5.00000,20.4347,248,25,100,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
11,-991.47,-4.08012,0.84467,-0.58705,-5.00000,15.7879,243,15,500,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
15,-978.23,-3.94448,0.87099,-0.55509,-5.00000,16.5108,248,5,700,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
1,-1390.86,-5.60831,0.79463,-0.72505,-5.00000,18.2219,248,15,100,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
5,-633.22,-2.50285,0.92493,-0.34231,-4.20458,16.9673,253,5,300,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
9,-421.31,-1.83178,0.91351,-0.35366,-3.25373,11.6220,230,45,300,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
13,-198.35,-0.84404,0.96121,-0.22061,-1.31269,8.7824,235,35,500,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
7,-2031.75,-8.32684,0.67436,-0.84803,-5.00000,23.2034,244,25,300,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
3,275.32,1.13300,1.05076,0.30327,1.75482,8.7717,243,35,100,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
16,-959.05,-4.02962,0.84064,-0.61371,-5.00000,14.7375,238,15,700,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
17,-1262.64,-5.48974,0.77460,-0.87365,-5.00000,14.2699,230,25,700,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
19,-585.48,-2.67342,0.87256,-0.52611,-4.83867,10.5709,219,45,700,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
18,-366.76,-1.61568,0.92787,-0.35654,-2.61201,9.6898,227,35,700,14,30,17,30,1,1,2,0,16385,60,0,120,1,1,0,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
