Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpRetestOffsetPts,InpAtrSlMult,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
6,-1434.39,-4.71839,0.81480,-0.93143,-5.00000,15.3998,304,-0.9617,-563,-563.17,200,1.5,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
0,-2445.36,-7.43271,0.72505,-0.85745,-5.00000,28.1061,329,-0.9672,-743,-742.68,0,1.0,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
2,-2099.79,-6.62394,0.75488,-0.90064,-5.00000,23.3143,317,-0.9189,-538,-538.00,200,1.0,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
4,-1352.86,-4.29479,0.83432,-0.87282,-5.00000,15.3589,315,-0.9305,-554,-554.41,0,1.5,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
12,-717.92,-2.56400,0.88901,-0.47656,-5.00000,14.0621,280,-0.8689,-406,-406.16,0,2.5,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
8,-1070.82,-3.62990,0.85049,-0.86016,-5.00000,12.3348,295,-0.8819,-471,-470.92,0,2.0,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
10,-755.53,-2.63251,0.88868,-0.63926,-5.00000,11.4884,287,-0.9155,-467,-467.36,200,2.0,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
14,-563.48,-2.04902,0.90704,-0.38785,-4.28733,13.4353,275,-0.8948,-391,-390.58,200,2.5,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
7,-1394.08,-4.64693,0.82047,-0.86955,-5.00000,15.8689,300,-0.9351,-459,-458.83,300,1.5,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
1,-2700.62,-8.49252,0.68604,-0.93250,-5.00000,28.8440,318,-0.9282,-739,-738.75,100,1.0,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
