Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpRangeMinutes,InpAllowLong,InpAllowShort,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
0,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,25,0,0,14,30,17,30,1,1,0,2,0,16385,60,500,0,120,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
1,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,35,0,0,14,30,17,30,1,1,0,2,0,16385,60,500,0,120,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
2,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,45,0,0,14,30,17,30,1,1,0,2,0,16385,60,500,0,120,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
4,-105.58,-0.67679,0.96316,-0.14005,-1.58390,7.2153,156,-1.1664,-481,-480.99,35,1,0,14,30,17,30,1,1,0,2,0,16385,60,500,0,120,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
7,404.12,2.84592,1.16526,0.50768,5.64115,7.5450,142,-0.9719,-262,-261.83,35,0,1,14,30,17,30,1,1,0,2,0,16385,60,500,0,120,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
5,-87.73,-0.59277,0.96755,-0.13007,-1.34145,6.3933,148,-1.1498,-503,-502.71,45,1,0,14,30,17,30,1,1,0,2,0,16385,60,500,0,120,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
6,-742.75,-4.82305,0.78444,-0.57342,-5.00000,12.5300,154,-1.0059,-463,-465.87,25,0,1,14,30,17,30,1,1,0,2,0,16385,60,500,0,120,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
3,-235.51,-1.38535,0.92767,-0.18598,-3.37399,12.0454,170,-1.2131,-571,-571.34,25,1,0,14,30,17,30,1,1,0,2,0,16385,60,500,0,120,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
8,308.34,2.30104,1.11182,0.37768,4.45477,7.8413,134,-0.9878,-316,-315.84,45,0,1,14,30,17,30,1,1,0,2,0,16385,60,500,0,120,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
9,-796.18,-3.44667,0.82242,-0.40800,-5.00000,18.2608,231,-1.2693,-574,-573.78,25,1,1,14,30,17,30,1,1,0,2,0,16385,60,500,0,120,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
10,-261.87,-1.19032,0.92822,-0.21332,-2.85803,11.5550,220,-1.2019,-296,-295.65,35,1,1,14,30,17,30,1,1,0,2,0,16385,60,500,0,120,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
11,-556.55,-2.70170,0.86274,-0.45379,-5.00000,11.5390,206,-1.2299,-504,-503.66,45,1,1,14,30,17,30,1,1,0,2,0,16385,60,500,0,120,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
