Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSLbufferPips,InpTP2_ATRmult,InpTF,InpTmaSlow,InpAtrSlow,InpMultSlow,InpTmaFast,InpAtrFast,InpMultFast,InpDojiBodyMaxPct,InpUseHeikinAshi,InpRequireOutSlow,InpRequireColorFlip,InpAllowLong,InpAllowShort,InpUseEma200Bias,InpEma200Period,InpEma14Period,InpUseWPR,InpWprPeriod,InpWprOB,InpWprOS,InpAtrExitPeriod,InpSLfromDoji,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpSlippagePts
0,8142.65,52.87435,1.19165,1.05183,3.18712,6.9017,154,-2.1225,-5426,-5426.05,0,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
15,6353.97,39.46565,1.15789,0.99612,2.64739,5.8107,161,-1.6151,-5363,-5362.84,5,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
9,9341.22,55.60250,1.29104,1.71246,4.10108,4.9610,168,-1.5086,-2016,-3242.81,10,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
18,8503.04,43.16264,1.32701,1.82958,4.10389,4.2466,197,-1.3762,-2006,-3232.14,20,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
6,4256.29,20.46293,1.19626,1.00442,2.39306,4.2352,208,-1.2330,-2485,-3012.43,30,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
12,7716.63,37.27841,1.33841,1.63091,3.97534,4.3369,207,-1.3021,-1998,-3214.22,25,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
3,6569.35,36.29475,1.23571,1.22308,3.17639,4.9796,181,-1.4333,-1478,-3169.64,15,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
21,15909.62,98.81752,1.36212,2.42473,5.68239,5.5353,161,-1.7747,-5819,-5819.10,0,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
1,2057.19,13.27219,1.05212,0.29520,0.90884,6.5650,155,-1.7527,-5146,-5146.36,5,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
16,10891.66,64.83131,1.33734,2.11418,4.70421,4.9614,168,-1.5093,-2016,-3288.37,10,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
10,8737.77,46.47750,1.31113,1.69567,4.07100,4.9285,188,-1.4325,-1484,-3233.18,15,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
19,8782.73,42.42865,1.38379,1.94369,4.46588,4.2161,207,-1.3019,-1998,-3243.71,25,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
7,11124.56,69.52850,1.25849,1.50380,4.18384,6.4469,160,-1.7751,-5578,-5578.42,0,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
13,5843.88,27.18084,1.26796,1.36201,3.18260,4.2882,215,-1.2329,-2523,-3042.59,30,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
4,5402.05,28.43184,1.21018,1.06522,2.73660,4.7463,190,-1.3764,-2010,-3138.41,20,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
22,8113.51,50.08340,1.20006,1.34341,3.30305,5.4338,162,-1.6144,-5452,-5451.81,5,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
2,6879.74,42.73130,1.21627,1.20746,3.14339,5.2772,161,-1.5091,-2016,-3167.99,10,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
17,10068.16,53.55404,1.35668,2.04101,4.62091,4.9285,188,-1.4327,-1488,-3273.43,15,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
20,6777.64,31.52391,1.30958,1.57964,3.64381,4.2882,215,-1.2329,-2546,-3063.22,30,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
11,7323.59,37.17558,1.28291,1.50056,3.58445,4.4968,197,-1.3787,-2006,-3198.49,20,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
8,4396.40,27.30683,1.11024,0.65690,1.87530,6.1862,161,-1.6146,-5265,-5264.61,5,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
14,13664.55,85.40344,1.31394,1.95293,5.00631,5.9904,160,-1.7743,-5706,-5705.91,0,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
5,5984.57,29.92285,1.26425,1.21949,3.18647,4.5620,200,-1.3013,-1998,-3160.44,25,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
23,12473.74,73.80911,1.38416,2.43604,5.27466,4.9602,169,-1.5096,-2016,-3335.89,10,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
26,9894.86,47.57144,1.43066,2.29736,4.94226,4.2161,208,-1.3011,-1998,-3278.48,25,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
24,11443.27,60.54640,1.40335,2.31977,5.14814,4.9285,189,-1.4323,-1494,-3315.51,15,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
25,9717.41,48.83121,1.37193,2.20178,4.60147,4.1196,199,-1.3762,-2006,-3270.49,20,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
27,7773.34,35.98769,1.35385,1.81171,4.10713,4.2882,216,-1.2329,-2568,-3080.27,30,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
