Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSLbufferPips,InpTP2_ATRmult,InpTF,InpTmaSlow,InpAtrSlow,InpMultSlow,InpTmaFast,InpAtrFast,InpMultFast,InpDojiBodyMaxPct,InpUseHeikinAshi,InpRequireOutSlow,InpRequireColorFlip,InpAllowLong,InpAllowShort,InpUseEma200Bias,InpEma200Period,InpEma14Period,InpUseWPR,InpWprPeriod,InpWprOB,InpWprOS,InpAtrExitPeriod,InpSLfromDoji,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpSlippagePts
3,-7570.87,-16.78685,0.89701,-0.50088,-1.56469,14.1610,451,-2.0176,-172,-4096.68,15,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
12,1084.69,1.85735,1.01978,0.13474,0.23143,7.4241,584,-2.0130,-141,-3347.99,25,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
0,-12179.73,-31.23008,0.87496,-0.84820,-2.14644,14.2248,390,-2.0223,-2889,-4132.20,0,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
6,-167.33,-0.28361,0.99663,-0.02229,-0.03804,7.0351,590,-2.0105,-129,-3044.85,30,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
15,-12198.97,-29.39511,0.86394,-0.87010,-2.29177,13.9094,415,-2.0223,-2921,-4078.13,5,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
21,-9313.16,-23.39990,0.90639,-0.70056,-1.57202,13.1692,398,-2.0230,-2986,-4270.37,0,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
18,781.44,1.49415,1.01272,0.08570,0.15770,8.3562,523,-2.0109,-155,-3358.22,20,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
9,-8381.89,-19.04975,0.89595,-0.68712,-1.61834,11.8546,440,-2.0178,-187,-4108.40,10,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
4,-810.58,-1.58008,0.98665,-0.08794,-0.16824,8.5632,513,-2.0119,-155,-3301.91,20,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
13,576.16,0.96187,1.01154,0.08062,0.12934,6.6733,599,-2.0100,-129,-3050.61,30,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
