Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpHourStart,InpHourEnd,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpTP_R,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpRiskPercent,InpMagic,InpComment,InpVerbose
0,2117.01,96.22773,1.16836,0.26277,0.47937,7.6404,22,-2.1286,-6165,-6165.25,6,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
14,-3966.55,-172.45870,0.74286,-0.39358,-1.00120,9.7042,23,-2.1297,-6073,-6072.91,8,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
8,-1085.67,-43.42680,0.93078,-0.11249,-0.25470,9.1529,25,-2.1286,-6165,-6165.25,6,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
2,-2336.09,-122.95211,0.81113,-0.27531,-0.52452,8.1705,19,-2.1297,-6073,-6072.91,8,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
10,-5395.01,-245.22773,0.64941,-0.46989,-1.35119,11.0555,22,-2.1297,-6073,-6072.91,8,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
4,6.94,0.28917,1.00047,0.00081,0.00161,8.1529,24,-2.1286,-6165,-6165.25,6,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
12,420.58,16.17615,1.02675,0.05130,0.09779,7.7752,26,-2.1286,-6165,-6165.25,6,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
6,-4352.46,-207.26000,0.69694,-0.41594,-1.05892,10.0758,21,-2.1297,-6073,-6072.91,8,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
1,632.79,30.13286,1.05044,0.07854,0.14682,7.6404,21,-2.1286,-6165,-6165.25,7,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
3,-2772.85,-163.10882,0.75627,-0.31079,-0.55734,8.5910,17,-2.1297,-5098,-5098.02,9,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
15,-3439.08,-171.95400,0.74521,-0.35962,-0.81403,9.2084,20,-2.1297,-5111,-5111.26,9,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
9,-2524.48,-105.18667,0.83875,-0.24586,-0.61771,9.7375,24,-2.1286,-6165,-6165.25,7,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
7,-4787.02,-251.94842,0.64168,-0.43974,-1.10253,10.4822,19,-2.1297,-5098,-5098.02,9,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
11,-5824.88,-291.24400,0.59497,-0.48953,-1.41260,11.4574,20,-2.1297,-5987,-5987.03,9,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
5,-1451.35,-63.10217,0.90058,-0.15742,-0.35035,8.7436,23,-2.1286,-6165,-6165.25,7,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
13,-1048.86,-41.95440,0.93319,-0.11878,-0.25537,8.3738,25,-2.1286,-6165,-6165.25,7,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
