Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpHourStart,InpHourEnd,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpTP_R,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpRiskPercent,InpMagic,InpComment,InpVerbose
0,1551.38,33.00809,1.05267,0.14744,0.21927,9.7811,47,-2.6596,-7500,-7500.46,6,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
6,7503.79,147.13314,1.24906,0.88238,0.90913,7.6935,51,-2.6601,-6723,-6723.27,8,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
14,7829.07,142.34673,1.23675,1.12295,0.92256,6.3095,55,-2.6578,-4399,-4398.54,8,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
12,8397.69,147.32789,1.24375,1.03120,0.96014,7.2572,57,-2.6569,-5524,-5524.00,6,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
2,698.18,16.23674,1.02570,0.07303,0.10383,8.8871,43,-2.6583,-5398,-5397.55,8,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
10,7859.78,148.29774,1.24997,1.12639,0.93882,6.3128,53,-2.6601,-4399,-4398.54,8,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
8,8432.74,153.32255,1.25714,1.03550,0.97716,7.2552,55,-2.6562,-5524,-5524.00,6,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
4,8074.55,152.35000,1.25670,0.83479,0.94876,8.6174,53,-2.6562,-7861,-7861.11,6,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
11,2642.52,66.06300,1.10835,0.47936,0.35744,5.1254,40,-2.6610,-3251,-3251.11,9,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
3,-1499.18,-46.84938,0.92736,-0.26068,-0.24199,5.5474,32,-2.6562,-3713,-3713.32,9,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
1,-326.67,-7.42432,0.98841,-0.03091,-0.04864,9.8242,44,-2.6583,-6401,-6401.16,7,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
9,6769.62,125.36333,1.20843,0.84351,0.81034,7.2606,54,-2.6601,-5440,-5440.46,7,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
7,1139.02,29.20564,1.04679,0.16257,0.15616,6.5143,39,-2.6610,-4896,-4895.73,9,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
5,6422.19,123.50365,1.20612,0.67386,0.77976,8.6221,52,-2.6601,-7744,-7744.06,7,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
13,6743.05,120.41161,1.19771,0.84082,0.79629,7.2577,56,-2.6578,-5440,-5440.46,7,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
15,1566.12,36.42140,1.05848,0.28694,0.20539,5.2277,43,-2.6577,-3930,-3929.55,9,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
