Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpHourStart,InpHourEnd,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpTP_R,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpRiskPercent,InpMagic,InpComment,InpVerbose
6,-663.84,-34.93895,0.94463,-0.10848,-0.13658,5.9222,19,-1.4307,-4473,-4472.55,8,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
2,-2008.67,-111.59278,0.83018,-0.33352,-0.39170,5.9088,18,-1.4308,-4403,-4403.19,8,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
0,-3990.54,-159.62160,0.75868,-0.40271,-0.90378,9.7217,25,-1.5677,-8808,-8807.52,6,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
14,-2642.83,-125.84905,0.80942,-0.33521,-0.59518,7.6301,21,-1.4307,-4473,-4472.55,8,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
4,-2695.36,-103.66769,0.83924,-0.26805,-0.60485,9.7315,26,-1.5686,-8936,-8936.36,6,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
10,-663.84,-34.93895,0.94463,-0.10848,-0.13658,5.9222,19,-1.4307,-4473,-4472.55,8,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
12,-4623.40,-165.12143,0.75084,-0.45979,-1.03335,9.7315,28,-1.5686,-8936,-8936.36,6,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
8,-2695.36,-103.66769,0.83924,-0.26805,-0.60485,9.7315,26,-1.5686,-8936,-8936.36,6,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
3,514.33,39.56385,1.06688,0.10364,0.06290,4.8687,13,-1.4308,-4091,-4090.66,9,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
7,1874.58,133.89857,1.24039,0.37157,0.26348,4.8825,14,-1.4307,-4150,-4149.80,9,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
1,-4069.49,-184.97682,0.73052,-0.41068,-0.89012,9.7217,22,-1.5677,-8808,-8807.52,7,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
15,-147.43,-9.21437,0.98485,-0.02106,-0.02656,6.7757,16,-1.4307,-6104,-6104.18,9,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
5,-2768.04,-120.34957,0.81917,-0.27527,-0.61053,9.7315,23,-1.5686,-8936,-8936.36,7,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
11,1874.58,133.89857,1.24039,0.37157,0.26348,4.8825,14,-1.4307,-4150,-4149.80,9,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
9,-2768.04,-120.34957,0.81917,-0.27527,-0.61053,9.7315,23,-1.5686,-8936,-8936.36,7,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
13,-4698.70,-187.94800,0.72569,-0.46727,-1.05780,9.7315,25,-1.5686,-8936,-8936.36,7,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
