Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpHourStart,InpHourEnd,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpTP_R,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpRiskPercent,InpMagic,InpComment,InpVerbose
2,-431.29,-21.56450,0.96472,-0.09616,-0.22616,4.3604,20,-1.4229,-3056,-3056.09,8,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
0,-625.69,-25.02760,0.95896,-0.13970,-0.35260,4.3628,25,-1.4186,-3996,-3996.44,6,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
8,3281.82,105.86516,1.18833,0.61164,1.43543,5.2655,31,-1.4253,-5034,-5034.39,6,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
4,5391.84,185.92552,1.34500,1.15255,2.39241,4.3598,29,-1.4249,-4100,-4099.75,6,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
10,3500.31,134.62731,1.24340,0.76220,1.59689,4.3579,26,-1.4225,-4067,-4067.34,8,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
6,5608.13,233.67208,1.44684,1.19558,2.52942,4.3622,24,-1.4218,-3196,-3196.37,8,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
14,6550.55,233.94821,1.44990,1.38503,2.67596,4.5277,28,-1.4218,-3223,-3223.19,8,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
12,7499.76,234.36750,1.45046,1.35363,2.89374,5.5269,32,-1.4235,-3994,-3994.21,6,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
1,1029.78,49.03714,1.08339,0.22677,0.54441,4.3513,21,-1.4231,-3093,-3092.79,7,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
5,7156.24,286.24960,1.56336,1.50355,3.17583,4.3623,25,-1.4213,-3244,-3243.51,7,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
3,591.10,31.11053,1.05231,0.13042,0.31694,4.3616,19,-1.4223,-3089,-3088.86,9,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
7,5608.13,233.67208,1.44684,1.19558,2.52942,4.3622,24,-1.4218,-3196,-3196.37,9,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
11,3500.31,134.62731,1.24340,0.76220,1.59689,4.3579,26,-1.4225,-4067,-4067.34,9,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
9,5029.00,186.25926,1.34578,1.07903,2.23899,4.3582,27,-1.4220,-4126,-4126.17,7,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
15,6550.55,233.94821,1.44990,1.38503,2.67596,4.5277,28,-1.4218,-3223,-3223.19,9,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
13,8143.26,280.80207,1.55372,1.69649,3.23700,4.5277,29,-1.4206,-3270,-3269.76,7,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
