Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpSlippagePts,InpTF,InpTmaSlow,InpAtrSlow,InpMultSlow,InpTmaFast,InpAtrFast,InpMultFast,InpDojiBodyMaxPct,InpUseHeikinAshi,InpRequireOutSlow,InpRequireColorFlip,InpAllowLong,InpAllowShort,InpUseEma200Bias,InpEma200Period,InpEma14Period,InpUseWPR,InpWprPeriod,InpWprOB,InpWprOS,InpAtrExitPeriod,InpSLbufferPips,InpSLfromDoji,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpTP2_ATRmult,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMaxSpread,InpVerbose
4,997.81,24.94525,1.15378,0.29784,2.18279,3.2668,40,-1.0359,-2080,-2080.36,772801,100,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
0,1092.69,27.31725,1.17090,0.33124,2.39280,3.2166,40,-1.0045,-2029,-2029.05,772801,0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
7,992.97,24.82425,1.15292,0.29640,2.17182,3.2670,40,-1.0360,-2080,-2080.36,772802,150,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
1,1092.69,27.31725,1.17090,0.33124,2.39280,3.2166,40,-1.0045,-2029,-2029.05,772802,0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
2,1048.60,26.21500,1.16288,0.31368,2.29549,3.2596,40,-1.0358,-2073,-2073.14,772801,50,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
3,1048.60,26.21500,1.16288,0.31368,2.29549,3.2596,40,-1.0358,-2073,-2073.14,772802,50,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
6,992.97,24.82425,1.15292,0.29640,2.17182,3.2670,40,-1.0360,-2080,-2080.36,772801,150,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
5,997.81,24.94525,1.15378,0.29784,2.18279,3.2668,40,-1.0359,-2080,-2080.36,772802,100,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
8,928.05,23.20125,1.14151,0.27672,2.02843,3.2711,40,-1.0566,-2084,-2083.98,772801,200,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
9,928.05,23.20125,1.14151,0.27672,2.02843,3.2711,40,-1.0566,-2084,-2083.98,772802,200,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,5,0,0.5,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,0,1
