Pass,Simbolo,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Giornate Operate,Lordo Medio Punti,Lordo Medio Valuta,Spread Mediano Ingresso,Spread P95 Ingresso,Rapporto Lordo Su Spread,Giornate Positive %,Ore Medie Tenuta,Uscite Ora,Uscite Flat,Uscite Stop O Orfane,Notti Attraversate,Lotti Al Minimo,Ora Ingresso,Ore Durata,Lato,Autotest Falliti,Giorni Saltati Spread,InpOraIngresso,InpOreDurata,InpAllowLong,InpAllowShort,InpSLatrMult,InpATRPeriod,InpTPatrMult,InpMaxPositions,InpMaxTradesPerDay,InpMaxSpreadPts,InpFlatAnticipoMin,InpRiskPercent,InpComment,InpMagic,InpVerbose,InpAutoTest
0,D30EUR,-185.46,-11.59125,0.56079,-0.31398,-2.82358,0.5892,16,-0.1815,16,-928.75,-6.59,380.00,410.00,2.444,43.75,4.00,16,0,0,0,0,0,4,-1,0,0,0,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
1,D30EUR,-159.33,-26.55500,0.37282,-0.71806,-1.04538,0.2218,6,-0.0938,6,-2208.33,-21.24,375.00,430.00,5.889,16.67,4.00,6,0,0,0,0,1,4,-1,0,0,1,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
2,D30EUR,-300.89,-12.53708,0.59197,-0.52807,-5.00000,0.5685,24,-0.1852,24,-383.33,-6.08,375.00,430.00,1.022,45.83,4.00,24,0,0,0,0,2,4,-1,0,0,2,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
3,D30EUR,221.20,9.21667,1.37051,0.57010,4.67053,0.3873,24,-0.1488,24,1245.83,15.96,380.00,410.00,3.279,45.83,4.00,24,0,0,0,0,3,4,-1,0,0,3,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
4,D30EUR,-163.25,-6.27885,0.83211,-0.30883,-2.84757,0.5270,26,-0.3266,26,251.92,0.75,350.00,390.00,0.720,57.69,4.00,26,0,0,0,0,4,4,-1,0,0,4,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
5,D30EUR,-210.55,-15.03929,0.72374,-0.31403,-1.64463,0.6692,14,-0.4125,14,-342.86,-11.44,360.00,580.00,0.952,50.00,4.00,14,0,0,0,0,5,4,-1,0,0,5,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
6,D30EUR,-1931.50,-80.47917,0.18998,-0.84720,-5.00000,2.2739,24,-0.4508,24,-5387.08,-77.47,390.00,430.00,13.813,37.50,4.00,24,0,0,0,0,6,4,-1,0,0,6,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
7,D30EUR,-625.66,-23.17259,0.83164,-0.37798,-3.67423,1.6482,27,-0.6292,27,55.56,-19.66,400.00,580.00,0.139,48.15,4.00,27,0,0,0,0,7,4,-1,0,0,7,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
8,D30EUR,-848.64,-38.57455,0.54113,-0.49006,-5.00000,1.7277,22,-0.4906,22,-506.36,-35.01,345.00,580.00,1.468,45.45,4.00,22,0,0,0,0,8,4,-1,0,0,8,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
9,D30EUR,522.38,24.87524,1.26590,0.44619,3.55922,1.1605,21,-0.5881,21,603.33,28.41,240.00,280.00,2.514,52.38,4.00,21,0,0,0,0,9,4,-1,0,0,9,4,0,1,10,14,0,1,1,0,30,1,OROLOGIO,777212,1,1
