Pass,Simbolo,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Giornate Operate,Lordo Medio Punti,Lordo Medio Valuta,Spread Mediano Ingresso,Spread P95 Ingresso,Rapporto Lordo Su Spread,Giornate Positive %,Ore Medie Tenuta,Uscite Ora,Uscite Flat,Uscite Stop O Orfane,Notti Attraversate,Lotti Al Minimo,Ora Ingresso,Ore Durata,Lato,Autotest Falliti,Giorni Saltati Spread,InpOraIngresso,InpOreDurata,InpAllowLong,InpAllowShort,InpSLatrMult,InpATRPeriod,InpTPatrMult,InpMaxPositions,InpMaxTradesPerDay,InpMaxSpreadPts,InpFlatAnticipoMin,InpRiskPercent,InpComment,InpMagic,InpVerbose,InpAutoTest
0,D30EUR,-752.66,-13.68473,0.67184,-0.63624,-5.00000,1.1794,55,-0.3916,55,-392.00,-9.01,370.00,400.00,1.059,50.91,4.00,55,0,0,0,0,0,4,1,0,0,0,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
1,D30EUR,254.65,25.46500,2.27516,1.30149,1.96072,0.1949,10,-0.1739,10,3896.00,29.36,280.00,370.00,13.914,60.00,4.00,10,0,0,0,0,1,4,1,0,0,1,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
2,D30EUR,-194.27,-4.22326,0.81539,-0.41823,-2.32684,0.4641,46,-0.2006,46,153.26,0.95,360.00,410.00,0.426,43.48,4.00,46,0,0,0,0,2,4,1,0,0,2,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
3,D30EUR,35.78,1.23379,1.04748,0.09606,0.56645,0.3724,29,-0.1804,29,129.66,6.96,360.00,430.00,0.360,58.62,4.00,29,0,0,0,0,3,4,1,0,0,3,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
4,D30EUR,-236.39,-5.90975,0.87596,-0.30175,-2.06114,0.7824,40,-0.3281,40,38.00,0.42,330.00,400.00,0.115,55.00,4.00,40,0,0,0,0,4,4,1,0,0,4,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
5,D30EUR,-127.45,-3.44459,0.94198,-0.11405,-0.88744,1.1150,37,-0.3560,37,427.30,2.86,340.00,410.00,1.257,48.65,4.00,37,0,0,0,0,5,4,1,0,0,5,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
6,D30EUR,-1705.13,-55.00419,0.54839,-0.74590,-5.00000,2.2767,31,-0.8275,31,-1595.16,-49.13,330.00,770.00,4.834,48.39,4.00,31,0,0,0,0,6,4,1,0,0,6,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
7,D30EUR,-2057.77,-62.35667,0.44193,-0.73076,-5.00000,2.7957,33,-0.5882,33,-3980.91,-55.48,380.00,430.00,10.476,36.36,4.00,33,0,0,0,0,7,4,1,0,0,7,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
8,D30EUR,-1290.35,-34.87432,0.63914,-0.53785,-5.00000,2.3934,37,-0.5102,37,-785.95,-29.64,270.00,410.00,2.911,43.24,4.00,37,0,0,0,0,8,4,1,0,0,8,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
9,D30EUR,427.56,11.87667,1.19110,0.36167,2.28513,1.1676,36,-0.4601,36,660.00,15.71,170.00,270.00,3.882,61.11,4.00,36,0,0,0,0,9,4,1,0,0,9,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
10,D30EUR,-884.60,-25.27429,0.67446,-0.57882,-5.00000,1.5219,35,-0.5416,35,-1604.57,-22.29,160.00,180.00,10.029,40.00,4.00,35,0,0,0,0,10,4,1,0,0,10,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
11,D30EUR,-453.52,-13.74303,0.79467,-0.53379,-2.97985,0.8471,33,-0.6133,33,-910.00,-10.75,160.00,180.00,5.687,51.52,4.00,33,0,0,0,0,11,4,1,0,0,11,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
12,D30EUR,-992.51,-22.05578,0.66203,-0.69095,-4.60718,1.4330,45,-0.5380,45,-953.33,-19.35,150.00,170.00,6.356,57.78,4.00,45,0,0,0,0,12,4,1,0,0,12,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
