Simbolo,Timeframe,Barre,PrimaDataLocale,PrimaDataServer,Verdetto
NASUSD,M1,648972,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
NASUSD,M5,129808,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
NASUSD,M15,43500,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
NASUSD,M30,21759,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
NASUSD,H1,10887,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
NASUSD,H4,2963,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
NASUSD,D1,544,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
NASUSD,TICK,164636788,2024.09.26,-,TICK REALI PARZIALI
D30EUR,M1,623824,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
D30EUR,M5,125954,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
D30EUR,M15,42183,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
D30EUR,M30,21150,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
D30EUR,H1,10580,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
D30EUR,H4,2920,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
D30EUR,D1,534,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
D30EUR,TICK,34322761,2024.09.26,-,TICK REALI PARZIALI
