Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUsaGuardian,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpAllowReverse,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailStartR,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
0,203.66,0.92573,1.04668,0.23267,1.81218,7.9333,220,-1.0413,-217,-217.42,0,0,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
1,-33.36,-0.15164,0.99250,-0.03271,-0.28757,9.3170,220,-1.0715,-205,-215.05,100,0,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
2,219.99,1.02321,1.05193,0.30099,1.90967,6.6993,215,-1.0538,-205,-213.03,200,0,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
3,407.10,1.89349,1.10005,0.61101,3.61579,6.0393,215,-1.0473,-209,-215.67,300,0,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
4,68.80,0.32150,1.01657,0.09533,0.62373,6.7134,214,-1.0211,-205,-212.25,400,0,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
5,203.66,0.92573,1.04668,0.23267,1.81218,7.9333,220,-1.0413,-217,-217.42,0,2000,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
6,-33.36,-0.15164,0.99250,-0.03271,-0.28757,9.3170,220,-1.0715,-205,-215.05,100,2000,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
7,219.99,1.02321,1.05193,0.30099,1.90967,6.6993,215,-1.0538,-205,-213.03,200,2000,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
8,407.10,1.89349,1.10005,0.61101,3.61579,6.0393,215,-1.0473,-209,-215.67,300,2000,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
9,68.80,0.32150,1.01657,0.09533,0.62373,6.7134,214,-1.0211,-205,-212.25,400,2000,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
