Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUsaGuardian,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpAllowReverse,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailStartR,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
0,251.22,0.77298,1.04089,0.18434,1.34812,13.2624,325,-1.0614,-555,-555.35,0,0,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
1,16.09,0.04966,1.00260,0.01050,0.08843,15.0037,324,-1.0631,-553,-552.56,100,0,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
2,-57.63,-0.18066,0.99063,-0.03552,-0.32068,15.8550,319,-1.0694,-542,-541.99,200,0,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
3,-379.21,-1.20384,0.93751,-0.20617,-2.23023,18.0727,315,-1.0536,-546,-545.92,300,0,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
4,-378.20,-1.20446,0.93672,-0.20376,-2.31888,18.2538,314,-1.0646,-534,-533.59,400,0,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
5,251.22,0.77298,1.04089,0.18434,1.34812,13.2624,325,-1.0614,-555,-555.35,0,2000,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
6,16.09,0.04966,1.00260,0.01050,0.08843,15.0037,324,-1.0631,-553,-552.56,100,2000,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
7,-57.63,-0.18066,0.99063,-0.03552,-0.32068,15.8550,319,-1.0694,-542,-541.99,200,2000,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
8,-379.21,-1.20384,0.93751,-0.20617,-2.23023,18.0727,315,-1.0536,-546,-545.92,300,2000,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
9,-378.20,-1.20446,0.93672,-0.20376,-2.31888,18.2538,314,-1.0646,-534,-533.59,400,2000,0,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
