Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLBufferPts,InpSlippagePts,InpUsaGuardian,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpSLMode,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpTPRangeMult,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpUseEma200Filter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpAutoTest
0,9509.39,133.93507,1.24979,1.14859,12.22241,7.8885,71,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
1,3193.77,44.98268,1.09174,0.39696,4.85232,7.8098,71,500,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
2,1095.82,15.43408,1.03507,0.15202,1.90721,7.0616,71,1000,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
3,-474.96,-6.68958,0.98355,-0.06038,-0.92338,7.7338,71,1500,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
4,-983.79,-13.85620,0.96300,-0.12545,-2.07599,7.7173,71,2000,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
5,8354.30,117.66620,1.21696,0.97784,10.80911,8.1688,71,0,50,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
6,2617.61,36.86775,1.07485,0.32261,3.99350,7.8903,71,500,50,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
7,719.96,10.14028,1.02297,0.09689,1.25502,7.2904,71,1000,50,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
8,-755.92,-10.64676,0.97386,-0.09346,-1.47428,7.9523,71,1500,50,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
9,-1256.69,-17.69986,0.95277,-0.15614,-2.65985,7.9202,71,2000,50,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
10,7452.35,104.96268,1.19222,0.86233,9.63843,8.2940,71,0,100,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
11,2188.13,30.81873,1.06250,0.26845,3.33079,7.9365,71,500,100,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
12,255.13,3.59338,1.00811,0.03329,0.44776,7.5279,71,1000,100,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
13,-1064.97,-14.99958,0.96323,-0.12760,-2.09067,8.2066,71,1500,100,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
14,-1458.51,-20.54239,0.94523,-0.17745,-3.10445,8.0882,71,2000,100,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
