close_time;symbol;magic;position_id;deal_type;volume;price;net_profit
2025.06.10 08:55:57;D30EUR;777191;2;0;1.50;24117.00;3.90
2025.06.11 10:23:12;D30EUR;777191;4;1;1.10;24055.60;11.22
2025.06.12 08:55:00;D30EUR;777191;6;0;0.40;23632.70;23.04
2025.06.12 09:10:04;D30EUR;777191;6;0;0.40;23646.70;17.44
2025.06.13 08:50:09;D30EUR;777191;9;1;1.00;23500.70;19.10
2025.06.16 08:43:48;D30EUR;777191;11;0;1.10;23529.10;0.11
2025.06.17 13:30:02;D30EUR;777191;13;1;0.40;23499.40;-1.96
2025.06.18 09:27:20;D30EUR;777191;15;1;1.90;23402.80;-98.42
2025.06.19 10:21:07;D30EUR;777191;17;0;1.20;23213.10;-98.16
2025.06.20 10:20:57;D30EUR;777191;19;1;1.10;23255.90;0.77
2025.06.23 10:00:49;D30EUR;777191;21;1;0.60;23324.40;0.12
2025.06.24 09:29:27;D30EUR;777191;23;0;0.70;23752.20;-89.53
2025.06.25 08:50:43;D30EUR;777191;25;0;1.00;23636.80;3.40
2025.06.26 09:06:03;D30EUR;777191;27;0;1.40;23661.10;-95.90
2025.06.27 09:25:36;D30EUR;777191;29;1;1.20;23870.90;3.96
2025.06.30 10:25:34;D30EUR;777191;31;0;0.60;24019.70;7.68
2025.07.01 09:10:50;D30EUR;777191;33;0;0.90;23863.60;15.93
2025.07.02 13:30:00;D30EUR;777191;35;0;0.70;23697.50;4.27
2025.07.03 10:35:00;D30EUR;777191;37;0;0.60;23774.40;30.42
2025.07.03 10:41:09;D30EUR;777191;37;0;0.70;23775.40;34.79
2025.07.04 09:46:13;D30EUR;777191;40;0;0.40;23709.20;24.04
2025.07.04 09:56:53;D30EUR;777191;40;0;0.50;23726.70;21.30
2025.07.08 14:50:00;D30EUR;777191;44;1;0.50;24205.80;28.65
2025.07.08 14:58:19;D30EUR;777191;44;1;0.50;24198.80;25.15
2025.07.10 11:15:31;D30EUR;777191;48;0;1.50;24581.50;-0.90
2025.07.14 08:45:58;D30EUR;777191;51;1;1.00;24079.40;7.30
2025.07.15 09:01:31;D30EUR;777191;53;1;1.60;24242.50;15.84
2025.07.16 09:10:10;D30EUR;777191;55;1;1.10;24069.60;29.70
2025.07.17 11:22:30;D30EUR;777191;57;0;0.80;24191.20;11.04
2025.07.18 11:25:05;D30EUR;777191;59;0;0.60;24382.30;28.62
2025.07.18 11:42:46;D30EUR;777191;59;0;0.80;24382.70;37.84
2025.07.21 10:43:28;D30EUR;777191;62;0;1.50;24272.00;1.20
2025.07.22 09:00:07;D30EUR;777191;64;0;0.60;24128.80;27.24
2025.07.22 09:05:00;D30EUR;777191;64;0;0.70;24155.30;13.23
2025.07.23 12:15:15;D30EUR;777191;67;0;0.60;24163.70;2.88
2025.07.24 10:39:11;D30EUR;777191;69;0;1.30;24438.40;1.69
2025.07.25 10:17:44;D30EUR;777191;71;0;0.90;24174.90;-91.62
2025.07.28 10:25:51;D30EUR;777191;73;0;0.40;24264.50;14.88
2025.07.30 09:50:06;D30EUR;777191;76;1;1.20;24209.20;6.36
2025.07.31 10:14:06;D30EUR;777191;78;1;0.80;24301.60;-97.28
2025.08.01 08:56:30;D30EUR;777191;80;0;0.60;23690.10;7.38
2025.08.04 08:55:36;D30EUR;777191;82;1;0.30;23684.60;18.51
2025.08.04 09:03:08;D30EUR;777191;82;1;0.40;23652.00;11.64
2025.08.05 10:05:00;D30EUR;777191;85;0;1.40;23867.60;10.36
2025.08.07 09:00:58;D30EUR;777191;88;1;0.60;24047.10;50.88
2025.08.07 09:28:34;D30EUR;777191;88;1;0.80;24163.60;161.04
2025.08.08 12:15:02;D30EUR;777191;91;0;1.10;24200.60;-94.05
2025.08.12 10:42:43;D30EUR;777191;94;0;0.40;23999.00;22.96
2025.08.12 11:14:21;D30EUR;777191;94;0;0.40;23969.50;34.76
2025.08.13 09:38:50;D30EUR;777191;97;1;1.20;24213.20;6.00
2025.08.14 09:24:34;D30EUR;777191;99;1;1.20;24276.30;4.20
2025.08.15 12:28:57;D30EUR;777191;101;0;0.80;24401.00;24.00
2025.08.19 09:50:12;D30EUR;777191;103;0;1.20;24377.60;-101.52
2025.08.20 09:46:10;D30EUR;777191;105;1;1.10;24315.00;22.00
2025.08.21 09:18:56;D30EUR;777191;107;1;1.70;24238.10;-97.75
2025.08.22 09:02:33;D30EUR;777191;109;1;1.90;24264.40;0.95
2025.08.25 09:53:04;D30EUR;777191;111;1;1.60;24277.00;7.20
2025.08.26 09:20:38;D30EUR;777191;113;1;0.80;24160.50;12.64
2025.08.27 09:31:57;D30EUR;777191;115;0;1.00;24083.00;28.40
2025.08.28 09:35:27;D30EUR;777191;117;0;1.20;24110.60;16.08
2025.08.29 09:20:27;D30EUR;777191;119;0;0.70;23916.50;0.21
2025.09.01 17:30:00;D30EUR;777191;121;1;1.20;24028.90;-16.32
2025.09.02 09:35:55;D30EUR;777191;123;0;0.50;23795.30;13.90
2025.09.03 11:16:57;D30EUR;777191;125;1;0.30;23692.90;18.60
2025.09.03 11:25:20;D30EUR;777191;125;1;0.40;23697.40;26.60
