Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpCrossLookback,InpHACount,InpAdxMin,InpRequireAdxRising,InpMaxDistATR,InpMaxDistEma21ATR,InpUsaGuardian,InpTimeframe,InpEmaFast,InpEmaMid,InpEmaSlow,InpEmaSlopeBars,InpRequireAlignment,InpHAAutoCount,InpHAWickRatio,InpHABodyFactor,InpUseBBExpand,InpBBPeriod,InpBBDev,InpBBExpandBars,InpBBExpandMult,InpAdxPeriod,InpAdxRising,InpRequireDI,InpMinRR,InpEntryMode,InpPullbackRef,InpPendingExpiryBars,InpAllowLong,InpAllowShort,InpSLMode,InpSwingLookback,InpAtrPeriod,InpAtrSLmult,InpSLBufferPts,InpTP_R,InpPartialR,InpPartialPct,InpBreakeven,InpTrailMode,InpTrailAtrMult,InpExitOnCross,InpExitOnHAflip,InpRiskPercent,InpMaxTradesPerDay,InpStopAfterLosses,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpFridayClose,InpFridayCloseHour,InpMagic,InpMaxSpread,InpVerbose
18,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,3,2,25,1,0.5,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,1,1,0,10,14,1.5,0,2.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778725,0,0
90,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,3,2,25,1,0.5,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,1,1,0,10,14,1.5,0,2.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778725,0,0
72,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,3,2,20,0,0.5,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,1,1,0,10,14,1.5,0,2.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778725,0,0
0,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,3,2,20,0,0.5,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,1,1,0,10,14,1.5,0,2.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778725,0,0
91,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,5,2,25,1,0.5,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,1,1,0,10,14,1.5,0,2.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778725,0,0
19,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,5,2,25,1,0.5,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,1,1,0,10,14,1.5,0,2.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778725,0,0
73,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,5,2,20,0,0.5,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,1,1,0,10,14,1.5,0,2.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778725,0,0
1,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,5,2,20,0,0.5,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,1,1,0,10,14,1.5,0,2.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778725,0,0
92,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,7,2,25,1,0.5,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,1,1,0,10,14,1.5,0,2.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778725,0,0
20,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,7,2,25,1,0.5,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,1,1,0,10,14,1.5,0,2.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778725,0,0
