file;expert;ora_piena;data;ora;simbolo;lato;uscita;livello_richiesto;prezzo_eseguito;volume;profitto;scarto_sfav
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.09.30 09:01:53;2024.09.30;9;D30EUR;long;sl;19396.2;19394.4;51.2;-1090.56;1.7999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.09.30 09:32:27;2024.09.30;9;D30EUR;long;sl;19378.4;19378.4;62.6;-989.08;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.09.30 19:24:24;2024.09.30;19;D30EUR;long;sl;19309.0;19308.6;28.6;-989.56;0.4000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.01 07:00:44;2024.10.01;7;D30EUR;long;sl;19377.3;19377.0;89.7;-995.67;0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.01 08:11:53;2024.10.01;8;D30EUR;long;sl;19365.2;19365.1;27.9;-959.76;0.10000000000218279
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.01 13:03:17;2024.10.01;13;D30EUR;long;tp;19420.8;19422.2;35.9;1945.78;-1.4000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.02 08:42:17;2024.10.02;8;D30EUR;long;tp;19238.6;19238.8;49.9;1946.1;-0.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.02 10:12:48;2024.10.02;10;D30EUR;long;sl;19179.7;19178.4;16.3;-1007.34;1.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.02 15:49:46;2024.10.02;15;D30EUR;long;tp;19153.8;19154.5;30.6;1973.7;-0.7000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.03 06:45:39;2024.10.03;6;D30EUR;long;sl;19044.7;19043.8;100.0;-1050.0;0.9000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.03 08:39:42;2024.10.03;8;D30EUR;long;sl;19021.7;19021.4;18.3;-991.86;0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.03 10:35:39;2024.10.03;10;D30EUR;long;tp;19055.2;19055.6;38.5;1971.2;-0.3999999999978172
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.04 08:00:29;2024.10.04;8;D30EUR;long;sl;18964.7;18963.8;22.9;-1014.47;0.9000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.04 13:30:03;2024.10.04;13;D30EUR;long;tp;19086.2;19096.4;21.5;2188.7;-10.200000000000728
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.07 07:28:00;2024.10.07;7;D30EUR;long;sl;19163.0;19162.6;39.5;-1023.05;0.4000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.07 08:00:08;2024.10.07;8;D30EUR;long;sl;19156.2;19155.6;31.0;-1016.8;0.6000000000021828
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.07 23:33:43;2024.10.07;23;D30EUR;long;sl;18981.8;18981.6;32.3;-994.84;0.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.08 10:53:55;2024.10.08;10;D30EUR;long;tp;19032.0;19032.3;23.5;1957.55;-0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.09 03:02:15;2024.10.09;3;D30EUR;long;sl;19078.5;19077.7;30.4;-1021.44;0.7999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.09 05:50:51;2024.10.09;5;D30EUR;long;sl;19051.7;19051.4;68.1;-1007.88;0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.09 08:10:01;2024.10.09;8;D30EUR;long;sl;19045.9;19045.4;47.7;-1001.7;0.5
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.10 07:20:23;2024.10.10;7;D30EUR;long;sl;19230.2;19230.0;69.6;-981.36;0.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.10 08:00:00;2024.10.10;8;D30EUR;long;sl;19225.9;19223.3;41.4;-1063.98;2.600000000002183
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.10 10:25:06;2024.10.10;10;D30EUR;long;sl;19175.7;19175.4;51.5;-963.05;0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.11 08:15:38;2024.10.11;8;D30EUR;long;sl;19184.3;19184.3;22.2;-936.84;0.0
