ora_server,tick_totali,tick_ask_usabili,tick_solo_bid,media_idx,mediana_idx,p95_idx,max_idx,overflow_tick
0,815016,815016,0,3.6980,3.8000,4.1000,12.4000,0
1,730445,730445,0,3.7790,3.9000,4.3000,25.7000,0
2,534679,534679,0,3.6025,3.7000,4.3000,21.7000,0
3,405973,405973,0,3.5427,3.6000,4.3000,19.6000,0
4,352843,352843,0,3.5331,3.5000,4.3000,20.7000,0
5,319281,319281,0,3.5105,3.5000,4.3000,19.8000,0
6,432433,432433,0,3.5797,3.7000,4.3000,19.8000,0
7,746714,746714,0,2.8248,2.8000,4.1000,19.1000,0
8,1847049,1847049,0,1.9194,1.7000,2.7000,12.0000,0
9,2391503,2391503,0,1.7065,1.7000,1.9000,11.9000,0
10,1840448,1840448,0,1.6724,1.7000,1.9000,11.9000,0
11,1600915,1600915,0,1.6549,1.6000,1.9000,11.0000,0
12,1531309,1531309,0,1.6868,1.6000,1.9000,21.5000,0
13,1674396,1674396,0,1.6763,1.6000,1.9000,11.9000,0
14,2318472,2318472,0,1.6928,1.7000,1.9000,12.2000,0
15,2890221,2890221,0,1.6920,1.7000,1.9000,11.9000,0
16,2772656,2772656,0,1.8760,1.7000,2.9000,11.9000,0
17,2108979,2108979,0,2.2823,2.6000,2.9000,10.7000,0
18,1578791,1578791,0,2.4899,2.7000,2.9000,8.7000,0
19,1357136,1357136,0,2.4519,2.7000,2.9000,9.7000,0
20,1386842,1386842,0,2.4511,2.7000,2.9000,8.0000,0
21,1024802,1024802,0,3.1020,2.8000,4.1000,15.1000,0
22,83242,83242,0,4.0915,4.0000,5.3000,5.5000,0
23,230644,230644,0,3.4844,2.8000,4.1000,14.2000,0
TUTTO,30974789,30974789,0,2.1862,1.7000,4.0000,25.7000,0
