idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
0;SHORT;2.00;?;2700;480;6530;0.15;2.04;18
1;SHORT;-1.00;?;4150;4810;1030;1.03;0.22;55
2;LONG;-1.00;?;2270;3100;1970;1.12;0.71;33
3;SHORT;2.00;?;2420;1350;6390;0.46;2.19;86
4;LONG;2.64;?;2980;0;4410;0.00;1.27;63
5;SHORT;-1.00;?;3200;4010;3040;1.08;0.82;76
6;SHORT;-1.00;?;2890;3460;0;1.02;0.00;24
7;LONG;0.89;?;2800;1690;3570;0.51;1.08;95
8;SHORT;-1.00;?;2100;2920;480;1.12;0.18;53
9;SHORT;-1.00;DOWN;2460;4280;0;1.45;0.00;5
10;SHORT;-1.00;UP;3630;4850;390;1.17;0.09;49
11;SHORT;2.00;UP;1550;130;4680;0.06;2.28;12
12;LONG;0.64;DOWN;4790;0;5190;0.00;0.98;97
13;LONG;2.00;DOWN;3020;600;8510;0.17;2.42;66
14;LONG;0.42;DOWN;3830;270;4800;0.06;1.11;97
15;LONG;-1.00;UP;3020;3610;1760;1.03;0.50;33
16;LONG;-1.00;DOWN;2870;3370;330;1.00;0.10;21
17;LONG;-1.00;DOWN;4980;5910;810;1.08;0.15;39
18;LONG;-1.00;DOWN;4870;5370;980;1.00;0.18;79
19;SHORT;-1.00;DOWN;3020;3640;1000;1.03;0.28;22
20;LONG;-1.00;DOWN;2750;3450;3910;1.06;1.20;41
21;LONG;-1.00;UP;2520;3130;700;1.04;0.23;11
22;SHORT;2.00;DOWN;3460;1400;8040;0.35;2.03;65
23;SHORT;2.00;DOWN;3150;460;7350;0.13;2.01;84
24;SHORT;-1.00;DOWN;1770;2420;300;1.07;0.13;5
25;SHORT;-1.00;DOWN;2820;3540;1470;1.07;0.44;26
26;LONG;-1.00;DOWN;1700;2510;220;1.14;0.10;10
27;LONG;-1.00;DOWN;7050;7960;7420;1.05;0.98;67
28;LONG;-1.00;DOWN;1580;2430;0;1.17;0.00;3
29;SHORT;-1.00;UP;1600;2350;0;1.12;0.00;6
30;LONG;2.00;DOWN;2250;0;5590;0.00;2.03;15
31;SHORT;-1.00;DOWN;1100;1890;720;1.18;0.45;9
32;LONG;2.00;DOWN;1370;1090;3970;0.58;2.12;19
33;LONG;2.00;DOWN;1620;670;4850;0.32;2.29;23
34;SHORT;-1.00;DOWN;1350;1890;2560;1.02;1.38;12
