idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
0;LONG;-1.00;?;9070;9900;0;1.03;0.00;3
1;SHORT;0.28;?;19510;1670;24570;0.08;1.23;75
2;SHORT;-1.00;?;13040;14170;0;1.05;0.00;3
3;LONG;-1.00;?;11020;12690;10590;1.10;0.92;38
4;SHORT;2.00;?;5170;2850;11720;0.50;2.07;2
5;SHORT;-1.00;?;5540;7160;1580;1.19;0.26;6
6;LONG;2.00;?;4510;0;13680;0.00;2.73;10
7;LONG;2.00;UP;6000;1530;14050;0.24;2.16;21
8;SHORT;-1.00;UP;4910;5510;3560;1.02;0.66;3
9;LONG;2.00;UP;3660;2080;8770;0.50;2.11;5
10;LONG;-1.00;UP;6570;8120;6900;1.15;0.98;15
11;SHORT;2.00;UP;5260;0;18700;0.00;3.25;4
12;SHORT;-1.00;UP;11460;13990;3250;1.17;0.27;55
13;SHORT;0.10;UP;17280;13040;4520;0.73;0.25;72
14;LONG;-0.15;UP;6800;5990;2720;0.82;0.37;75
15;LONG;-1.00;DOWN;6500;7380;6400;1.05;0.91;11
16;LONG;0.74;UP;8970;3530;14090;0.37;1.49;75
17;SHORT;2.00;UP;5380;5400;11850;0.92;2.02;25
18;SHORT;-1.00;DOWN;6320;6890;690;1.01;0.10;3
19;LONG;-1.00;UP;9770;10770;11550;1.05;1.12;47
20;SHORT;0.59;UP;6830;6370;6750;0.87;0.92;75
21;LONG;2.00;UP;9290;1650;19680;0.17;2.01;63
22;LONG;-1.00;UP;12550;13300;2720;1.02;0.21;69
23;SHORT;1.48;DOWN;11590;0;23820;0.00;1.97;75
24;LONG;-0.14;DOWN;10630;4420;11980;0.40;1.08;74
25;SHORT;2.00;DOWN;2400;10;6370;0.00;2.20;7
26;SHORT;2.00;DOWN;1120;610;4250;0.38;2.62;3
27;SHORT;-1.00;UP;3000;6270;3140;1.79;0.90;9
28;LONG;2.00;UP;2720;1190;8270;0.37;2.57;10
29;LONG;2.00;UP;2350;1910;5800;0.67;2.04;32
30;SHORT;2.00;UP;1700;1660;4970;0.75;2.26;9
31;LONG;-1.00;UP;1850;2520;1000;1.07;0.43;6
32;SHORT;-1.00;UP;10590;12540;7640;1.13;0.69;48
33;SHORT;1.36;UP;6100;3060;10280;0.46;1.56;64
34;SHORT;2.00;DOWN;4940;620;11090;0.11;2.04;7
35;LONG;2.00;DOWN;5930;6030;13040;0.94;2.03;21
36;SHORT;-1.00;DOWN;7190;9230;11140;1.20;1.45;11
37;SHORT;2.00;DOWN;2130;400;5850;0.15;2.22;7
38;LONG;-1.00;DOWN;5230;9330;3140;1.63;0.55;4
39;SHORT;-1.00;DOWN;2590;3320;360;1.07;0.12;4
40;LONG;-1.00;UP;4320;6850;9150;1.42;1.90;13
41;LONG;2.00;UP;2850;2980;7060;0.89;2.11;10
42;SHORT;2.00;UP;2260;1540;7010;0.56;2.54;6
43;LONG;0.00;UP;1940;560;2880;0.23;1.18;41
44;SHORT;-1.00;UP;2600;3770;190;1.22;0.06;3
45;SHORT;-1.00;UP;1750;2950;450;1.31;0.20;3
46;LONG;-1.00;UP;1620;2720;300;1.28;0.14;2
47;LONG;-1.00;UP;2110;2670;1430;1.02;0.55;6
48;SHORT;-1.00;UP;1500;2110;930;1.06;0.46;8
49;LONG;1.24;UP;7880;1630;13620;0.19;1.63;66
50;LONG;-1.00;UP;1750;4760;1120;2.12;0.50;9
51;SHORT;-1.00;UP;1620;2300;700;1.08;0.33;4
52;LONG;2.00;UP;8090;0;18600;0.00;2.17;13
53;SHORT;-1.00;UP;8080;9240;1750;1.08;0.20;10
54;SHORT;2.00;UP;1640;610;4620;0.29;2.16;8
55;SHORT;-1.00;UP;1520;3990;1480;1.98;0.73;5
56;LONG;-1.00;UP;3600;8020;0;1.96;0.00;5
57;SHORT;2.00;UP;4020;0;9830;0.00;2.17;9
58;SHORT;-1.00;DOWN;4380;5300;2680;1.09;0.55;7
59;LONG;2.00;DOWN;11840;5870;31800;0.48;2.58;19
60;LONG;-1.00;DOWN;11560;14880;1260;1.23;0.10;7
61;LONG;2.00;UP;1490;1220;6230;0.61;3.13;11
62;LONG;-1.00;UP;4110;9490;4260;2.06;0.92;4
63;SHORT;2.00;UP;3590;840;11060;0.21;2.70;6
64;SHORT;-1.00;DOWN;7950;9930;13710;1.18;1.62;39
65;SHORT;2.00;DOWN;3380;2650;8250;0.68;2.13;8
66;SHORT;2.00;DOWN;6140;0;13520;0.00;2.04;6
67;SHORT;-1.00;DOWN;1660;2630;2670;1.22;1.24;6
68;LONG;-1.00;UP;4050;10610;690;2.33;0.15;5
69;LONG;2.00;UP;1850;900;4940;0.38;2.10;9
70;SHORT;-1.00;DOWN;7710;9240;2610;1.13;0.32;5
71;SHORT;0.48;DOWN;2570;480;4030;0.16;1.31;6
72;SHORT;2.00;DOWN;4070;130;9420;0.03;2.06;8
73;LONG;2.00;DOWN;70;0;6620;0.00;11.61;1
74;LONG;-1.00;UP;4770;7110;2070;1.35;0.39;8
75;LONG;2.00;UP;6540;1100;16610;0.16;2.36;7
76;LONG;0.33;UP;11630;3340;11880;0.28;0.98;49
77;LONG;-1.00;UP;2150;2970;2130;1.12;0.80;9
78;SHORT;-1.00;UP;2050;7110;1170;2.79;0.46;5
79;SHORT;-1.00;UP;4010;5080;520;1.13;0.12;12
80;LONG;2.00;UP;2200;2280;5550;0.84;2.06;9
81;LONG;-1.00;DOWN;4280;5450;0;1.14;0.00;3
82;SHORT;-1.00;DOWN;7380;8310;11750;1.05;1.49;11
83;LONG;-1.00;UP;3040;5940;3310;1.68;0.94;7
84;LONG;-1.00;UP;5590;6930;1060;1.14;0.17;8
85;LONG;-1.00;UP;3840;4820;1000;1.11;0.23;6
86;SHORT;-1.00;DOWN;5160;7510;190;1.33;0.03;8
87;SHORT;-1.00;DOWN;3130;3860;2160;1.06;0.60;9
88;LONG;-1.00;DOWN;4290;5310;5060;1.11;1.06;7
89;LONG;-1.00;UP;2900;3600;790;1.06;0.23;7
90;LONG;-1.00;UP;11450;16560;5820;1.39;0.49;6
91;LONG;-1.00;UP;2650;3290;60;1.04;0.02;4
92;SHORT;-1.00;UP;1670;6730;4270;3.10;1.97;9
93;SHORT;-0.94;UP;32890;32690;0;0.98;0.00;72
94;LONG;1.42;UP;11060;6720;17290;0.58;1.50;66
95;LONG;2.00;UP;3470;2170;8100;0.55;2.04;57
96;LONG;-1.00;UP;890;1930;350;1.39;0.25;6
97;LONG;-1.00;UP;1810;5740;810;2.48;0.35;6
98;LONG;-1.00;UP;1890;2900;1690;1.21;0.71;9
99;LONG;-1.00;UP;1720;3560;1650;1.60;0.74;9
100;LONG;-1.00;UP;2540;3210;0;1.06;0.00;3
101;LONG;-1.00;DOWN;1830;2560;1160;1.10;0.50;2
102;SHORT;2.00;DOWN;4270;1300;12700;0.27;2.66;12
103;SHORT;2.00;DOWN;2810;0;7670;0.00;2.32;6
104;SHORT;-1.00;DOWN;5270;6290;4030;1.09;0.70;4
105;SHORT;-1.00;DOWN;8340;11810;11630;1.34;1.32;9
106;SHORT;-1.00;DOWN;3800;5470;0;1.27;0.00;2
107;LONG;-1.00;DOWN;8250;9490;4230;1.08;0.48;8
108;SHORT;2.00;DOWN;5450;5400;13980;0.91;2.35;14
109;SHORT;-1.00;DOWN;7550;12130;7670;1.51;0.95;13
110;SHORT;-1.00;DOWN;20650;21150;29350;1.00;1.39;66
111;SHORT;2.00;DOWN;11200;4230;26400;0.36;2.26;13
112;LONG;-1.00;DOWN;16500;20080;5750;1.18;0.34;3
113;SHORT;2.00;DOWN;10650;5970;23580;0.54;2.11;15
114;SHORT;2.00;DOWN;10530;10180;22720;0.92;2.06;36
115;LONG;-1.00;DOWN;14800;16210;1740;1.06;0.11;3
116;SHORT;-1.00;DOWN;16310;17280;5270;1.03;0.31;41
117;SHORT;-0.04;DOWN;18770;7650;9980;0.40;0.52;74
118;LONG;2.00;DOWN;10710;3930;24490;0.35;2.18;62
119;LONG;-0.04;DOWN;14960;11350;19500;0.73;1.26;74
120;LONG;3.19;DOWN;10350;5090;20240;0.47;1.87;73
121;LONG;0.98;UP;6290;2010;11200;0.30;1.65;74
122;SHORT;-1.00;UP;5800;7190;350;1.14;0.06;3
123;SHORT;2.00;UP;6180;0;18300;0.00;2.74;7
124;LONG;-0.53;DOWN;13000;9610;12770;0.71;0.95;73
125;SHORT;2.00;DOWN;10130;4190;23140;0.39;2.18;7
126;SHORT;-1.00;DOWN;18840;22480;0;1.16;0.00;19
127;LONG;-1.00;DOWN;9380;10790;2010;1.09;0.20;4
128;LONG;-2.64;DOWN;21460;60640;35360;2.76;1.61;74
129;SHORT;1.24;DOWN;16030;7710;23080;0.47;1.40;71
130;SHORT;5.13;DOWN;23900;22750;44390;0.93;1.82;73
131;LONG;2.00;DOWN;30400;0;113900;0.00;3.69;4
132;LONG;-1.00;DOWN;13870;17310;15170;1.20;1.06;17
133;LONG;2.00;DOWN;34990;34140;87560;0.96;2.47;40
134;SHORT;2.00;UP;19010;12340;41660;0.63;2.14;24
135;LONG;-1.00;UP;21530;29460;7420;1.34;0.34;7
136;SHORT;0.29;UP;25810;19770;25440;0.75;0.97;75
137;LONG;-1.00;UP;11750;12700;5550;1.04;0.45;6
138;SHORT;-1.00;UP;10520;13900;5980;1.26;0.54;18
139;SHORT;-1.00;DOWN;12520;13190;11870;1.01;0.91;53
140;SHORT;2.00;DOWN;10320;6010;22730;0.56;2.10;21
141;LONG;2.00;DOWN;11120;1540;23420;0.13;2.02;27
142;LONG;-1.00;UP;19180;20500;5250;1.04;0.27;18
143;LONG;2.00;UP;11380;0;24420;0.00;2.06;17
144;SHORT;-1.00;UP;10630;12860;0;1.16;0.00;3
145;LONG;-1.00;UP;11420;14750;0;1.24;0.00;2
146;LONG;2.00;UP;7300;1140;17930;0.15;2.30;48
147;SHORT;-1.00;UP;16770;18150;2780;1.05;0.16;6
148;SHORT;-1.00;UP;10050;11900;1970;1.13;0.19;6
149;SHORT;-1.00;UP;9090;10710;0;1.12;0.00;2
150;LONG;-0.34;UP;6720;4630;13760;0.64;1.91;75
151;SHORT;-1.00;UP;8350;9260;3790;1.05;0.43;5
152;SHORT;-1.00;UP;6800;8080;0;1.11;0.00;2
153;SHORT;-1.00;UP;7580;11070;11480;1.37;1.42;20
154;SHORT;2.00;UP;5800;5630;16050;0.89;2.55;9
155;SHORT;-1.00;UP;17350;18700;5870;1.05;0.33;32
156;LONG;2.00;UP;10590;0;22410;0.00;2.02;31
157;SHORT;-1.00;UP;9060;10890;3520;1.14;0.37;33
158;SHORT;-1.00;UP;5960;7000;1820;1.08;0.28;3
159;SHORT;-1.00;UP;7880;9220;6240;1.10;0.74;36
160;LONG;1.18;UP;12970;0;20770;0.00;1.54;75
161;SHORT;-1.00;UP;4760;5720;3280;1.09;0.62;10
162;LONG;-1.00;UP;9520;11270;18280;1.12;1.82;43
163;LONG;-0.21;UP;10530;5550;11520;0.50;1.04;74
164;LONG;1.00;UP;13000;6780;12870;0.50;0.95;68
165;SHORT;-0.27;UP;4880;3750;4080;0.70;0.76;30
166;LONG;2.00;UP;9110;0;19770;0.00;2.06;49
167;SHORT;1.52;UP;7590;2710;15480;0.33;1.91;75
168;SHORT;0.79;UP;15620;3700;21760;0.23;1.35;75
169;SHORT;-1.00;UP;9310;9850;5820;1.00;0.59;8
170;SHORT;-1.00;DOWN;17010;18780;2180;1.07;0.12;36
171;LONG;0.94;UP;8500;4050;16010;0.45;1.78;75
172;SHORT;-1.00;UP;7600;8300;7270;1.02;0.90;48
173;SHORT;-1.00;UP;10380;13360;2900;1.23;0.27;11
174;LONG;-1.00;UP;8360;9080;850;1.02;0.10;8
175;LONG;-0.10;UP;6200;3220;7470;0.48;1.11;74
176;LONG;-1.00;UP;6750;14600;10;2.01;0.00;20
177;SHORT;-1.00;UP;6400;7600;500;1.10;0.07;7
178;LONG;0.65;UP;6390;4550;9050;0.66;1.31;75
179;LONG;-1.00;DOWN;12370;14790;0;1.15;0.00;6
180;LONG;0.86;UP;8310;470;11780;0.05;1.34;75
181;SHORT;-1.00;UP;7880;8430;0;1.01;0.00;3
182;LONG;-1.00;DOWN;6870;10830;9800;1.47;1.33;62
183;SHORT;-1.49;DOWN;6800;12290;4960;1.68;0.68;39
184;SHORT;2.00;DOWN;9020;1050;19150;0.11;2.01;11
185;LONG;-1.00;DOWN;12650;15160;12860;1.15;0.98;34
186;LONG;0.90;UP;6660;6360;11260;0.89;1.57;75
187;SHORT;0.28;UP;5430;4320;10210;0.73;1.72;74
188;SHORT;-1.00;UP;7070;7580;1570;1.00;0.21;3
189;LONG;-1.00;UP;5570;6760;7540;1.11;1.24;54
190;SHORT;-1.00;UP;7030;8090;1980;1.07;0.26;67
191;LONG;-1.00;UP;4080;4750;2080;1.04;0.45;6
192;LONG;2.00;UP;5500;620;12210;0.10;2.03;13
193;LONG;1.19;UP;5370;0;11580;0.00;1.97;41
194;LONG;1.44;UP;4140;3880;970;0.84;0.21;38
195;SHORT;0.49;UP;7440;6400;11480;0.81;1.45;62
196;SHORT;-1.00;UP;5380;6080;4520;1.03;0.77;29
197;LONG;-1.00;UP;8640;10420;4340;1.14;0.47;10
198;SHORT;0.09;UP;6770;3510;11790;0.48;1.62;75
199;SHORT;-1.00;UP;8710;9890;0;1.07;0.00;2
200;SHORT;-1.00;UP;12690;13810;0;1.05;0.00;7
201;SHORT;0.85;UP;9940;7970;9270;0.76;0.89;72
202;SHORT;-1.00;UP;8300;9640;16740;1.10;1.90;71
203;LONG;2.00;UP;6230;1620;13680;0.24;2.03;31
204;SHORT;0.63;UP;5180;3130;8170;0.55;1.44;72
205;LONG;-0.05;UP;9340;2100;7350;0.21;0.75;75
206;SHORT;0.39;UP;8820;280;14620;0.03;1.57;75
207;SHORT;-1.00;UP;7970;10860;3300;1.28;0.39;25
208;SHORT;-1.00;UP;6460;8130;3290;1.17;0.47;37
209;LONG;2.81;UP;4680;700;9560;0.14;1.85;73
210;LONG;-1.00;UP;3910;4930;1940;1.12;0.44;18
211;SHORT;2.00;UP;5820;230;13220;0.04;2.09;20
212;LONG;-1.00;UP;5870;11210;7680;1.76;1.21;62
213;SHORT;2.00;UP;12960;8670;31070;0.64;2.31;54
214;SHORT;0.35;DOWN;17620;12930;12610;0.71;0.70;73
215;LONG;0.81;DOWN;10780;1270;10670;0.11;0.95;75
216;LONG;-1.00;UP;5840;7290;2690;1.15;0.42;6
217;LONG;2.00;DOWN;7870;6610;18170;0.79;2.17;52
218;SHORT;-1.00;UP;6460;7880;0;1.13;0.00;2
219;LONG;1.23;UP;8370;470;10650;0.05;1.20;73
220;LONG;-1.00;UP;5730;6290;6500;1.01;1.04;50
221;SHORT;-1.00;UP;9640;10630;8470;1.05;0.84;16
222;SHORT;2.00;UP;3880;0;9360;0.00;2.14;10
223;LONG;-0.53;UP;8200;6320;7870;0.73;0.90;75
224;SHORT;0.49;UP;7390;4860;9280;0.62;1.18;75
225;SHORT;-1.00;UP;4850;5880;3020;1.10;0.56;7
226;SHORT;1.50;UP;11020;7040;22850;0.61;1.98;75
227;SHORT;2.00;DOWN;10930;0;22860;0.00;2.00;5
228;SHORT;-1.00;DOWN;9020;10570;4060;1.11;0.43;5
229;LONG;2.00;DOWN;11700;7950;25850;0.65;2.12;4
230;LONG;-0.15;DOWN;7270;3540;9560;0.46;1.23;72
231;SHORT;-1.00;DOWN;5450;6630;2250;1.11;0.38;5
232;SHORT;-1.00;UP;5100;5620;1160;1.00;0.21;5
233;SHORT;-1.00;UP;11160;12540;5420;1.08;0.46;17
234;SHORT;2.00;UP;7950;0;16920;0.00;2.00;14
235;LONG;0.21;DOWN;4040;750;2000;0.17;0.44;39
236;LONG;0.57;DOWN;15160;15340;10890;0.98;0.70;75
237;SHORT;-1.00;DOWN;6540;8060;0;1.14;0.00;3
238;SHORT;-1.00;UP;9040;10140;4400;1.06;0.46;17
239;SHORT;2.00;UP;7950;1830;18960;0.22;2.24;5
240;LONG;-1.00;UP;7410;8990;3860;1.14;0.49;49
241;SHORT;-1.00;UP;3940;4470;8820;1.01;1.99;66
242;SHORT;0.41;UP;8150;7390;12970;0.85;1.50;75
