idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
0;LONG;-1.00;?;1040;2430;510;1.58;0.33;42
1;SHORT;0.06;?;3880;1660;3380;0.38;0.77;75
2;LONG;0.35;?;2500;700;2010;0.23;0.67;72
3;LONG;-1.00;?;1150;1890;1490;1.15;0.90;6
4;SHORT;-1.00;?;1420;2380;2960;1.24;1.54;73
5;SHORT;-1.00;?;880;1380;0;1.00;0.00;3
6;LONG;2.00;?;950;380;2940;0.26;2.03;71
7;LONG;2.00;UP;1230;600;3560;0.35;2.06;64
8;SHORT;-1.00;UP;970;1710;30;1.16;0.02;2
9;LONG;1.10;UP;1280;500;2970;0.28;1.67;74
10;LONG;0.84;UP;1400;160;2760;0.08;1.45;75
11;SHORT;2.00;UP;540;560;2410;0.54;2.32;8
12;LONG;1.35;UP;970;780;2620;0.53;1.78;71
13;SHORT;0.12;UP;2940;2150;700;0.62;0.20;71
14;LONG;0.09;UP;1650;770;930;0.36;0.43;54
15;LONG;-1.00;UP;520;1230;280;1.21;0.27;8
16;LONG;2.00;DOWN;940;530;2970;0.37;2.06;47
17;SHORT;2.00;UP;740;1040;2590;0.84;2.09;29
18;SHORT;-0.62;DOWN;1150;1300;2030;0.79;1.23;75
19;LONG;-1.00;UP;1120;1830;1570;1.13;0.97;41
20;SHORT;0.24;UP;1030;1260;760;0.82;0.50;74
21;LONG;0.99;DOWN;1540;40;2740;0.02;1.34;72
22;LONG;-0.49;UP;2350;3120;1470;1.09;0.52;73
23;SHORT;2.00;DOWN;1250;210;3720;0.12;2.13;15
24;LONG;-1.00;DOWN;2200;2770;2300;1.03;0.85;72
25;SHORT;2.00;DOWN;480;200;2100;0.20;2.14;7
26;SHORT;-1.00;DOWN;230;1570;400;2.15;0.55;7
27;SHORT;2.00;UP;850;610;2990;0.45;2.21;13
28;LONG;2.00;UP;620;170;2300;0.15;2.05;34
29;LONG;2.00;UP;560;140;2220;0.13;2.09;38
30;SHORT;0.93;UP;730;720;2410;0.59;1.96;66
31;LONG;-1.00;UP;380;1060;460;1.20;0.52;16
32;SHORT;-1.00;UP;2820;3370;0;1.02;0.00;25
33;SHORT;1.37;UP;1390;580;2840;0.31;1.50;64
34;SHORT;2.00;DOWN;1090;350;3200;0.22;2.01;13
35;LONG;0.93;DOWN;1250;1400;2840;0.80;1.62;70
36;SHORT;-1.00;DOWN;1650;2260;2380;1.05;1.11;20
37;SHORT;2.00;UP;630;130;2580;0.12;2.28;7
38;SHORT;2.00;DOWN;1020;0;3850;0.00;2.53;1
39;LONG;2.00;UP;490;10;2160;0.01;2.18;3
40;LONG;-1.00;UP;860;2070;1280;1.52;0.94;17
41;LONG;-1.00;UP;560;1230;100;1.16;0.09;9
42;SHORT;2.00;UP;430;610;1960;0.66;2.11;18
43;LONG;0.10;UP;180;140;430;0.21;0.63;41
44;LONG;2.00;UP;640;950;2490;0.83;2.18;31
45;LONG;0.96;UP;320;540;1010;0.66;1.23;67
46;SHORT;-0.58;UP;270;620;1160;0.81;1.51;73
47;SHORT;-1.00;UP;460;1060;0;1.10;0.00;4
48;SHORT;-1.00;UP;340;970;0;1.15;0.00;8
49;LONG;-0.33;UP;2430;1330;720;0.45;0.25;66
50;SHORT;2.00;UP;290;310;1950;0.39;2.47;15
51;LONG;-1.00;UP;170;930;200;1.39;0.30;5
52;LONG;1.17;DOWN;1670;50;2960;0.02;1.36;72
53;SHORT;0.15;UP;1490;1950;420;0.98;0.21;58
54;SHORT;2.00;UP;250;610;1590;0.81;2.12;17
55;SHORT;-1.00;UP;270;980;100;1.27;0.13;8
56;SHORT;-1.00;UP;700;1370;510;1.14;0.43;19
57;SHORT;-1.00;UP;690;1310;1700;1.10;1.43;24
