idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
0;SHORT;-1.00;?;20000;20930;0;1.02;0.00;9
1;SHORT;-1.00;?;28300;32880;6400;1.14;0.22;50
2;LONG;0.04;?;22870;10380;6710;0.44;0.29;64
3;SHORT;-1.00;?;18450;22350;7250;1.18;0.38;5
4;SHORT;-1.00;?;14050;16330;23950;1.12;1.65;69
5;LONG;-1.00;?;12450;13080;4450;1.01;0.34;27
6;SHORT;-1.00;?;20300;21970;0;1.06;0.00;58
7;LONG;1.37;DOWN;21200;7100;35810;0.33;1.65;75
8;SHORT;-1.00;UP;14620;15530;2180;1.03;0.14;18
9;LONG;1.09;UP;17850;0;23740;0.00;1.29;71
10;LONG;2.00;UP;12350;6350;26550;0.49;2.07;58
11;SHORT;0.16;UP;22950;22820;8040;0.97;0.34;73
12;LONG;1.44;UP;15450;800;26420;0.05;1.66;75
13;SHORT;-1.00;UP;13800;15250;2420;1.07;0.17;33
14;SHORT;-1.00;UP;19450;20880;1850;1.05;0.09;31
15;SHORT;2.00;UP;12950;2970;29040;0.22;2.16;18
16;SHORT;-1.00;DOWN;11460;12970;2190;1.08;0.18;15
17;LONG;-1.00;DOWN;8560;9460;6920;1.04;0.76;14
18;SHORT;-0.43;DOWN;9750;8710;18100;0.85;1.77;75
19;LONG;-1.00;DOWN;11200;11980;20;1.02;0.00;8
20;LONG;-0.44;DOWN;14900;13990;1420;0.91;0.09;66
21;LONG;2.00;DOWN;10600;50;22200;0.00;2.00;7
22;LONG;2.00;DOWN;10450;700;22180;0.06;2.03;23
23;SHORT;0.30;DOWN;10750;10970;17470;0.98;1.55;75
24;LONG;-0.32;DOWN;18450;12150;21610;0.64;1.14;71
25;SHORT;2.00;DOWN;2700;300;8000;0.09;2.50;7
26;SHORT;-1.00;DOWN;1800;4830;7760;2.10;3.37;9
27;SHORT;-1.00;UP;6350;9200;10650;1.34;1.55;9
