Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpBulgeWidthMult,InpBulgeMinBars,InpBulgeNetMoveATR,InpTF,InpBBPeriod,InpBBDev,InpStdPeriod,InpStdSmaPeriod,InpAtrPeriod,InpPatternMode,InpBulgeRefBars,InpBulgeMaxBars,InpBulgeMinImpBars,InpBulgeCandleMaxATR,InpBulgeMedianDistPct,InpBulgeEndMode,InpBulgeDirMode,InpImpulseATR,InpRientroMaxATR,InpInvViolentBars,InpZigZagATR,InpDeepSpikeATR,InpPostATRRef,InpBandRidingMaxBars,InpPostBulgeMaxBars,InpReinflateTolPct,InpUseShadowFilter,InpShadowBodyMult,InpUseRangeReduction,InpRangeReductionPct,InpContNoImpulseBandReturn,InpNarrowBars,InpStdDownMode,InpFlatSlopeATR,InpSlopeSource,InpRetestBufferATR,InpContRequireNarrow,InpContRequireStdDown,InpUseReversalCandle,InpRevBodyMaxPct,InpRevShadowMinPct,InpMinSolidita,InpSL_ATRmult,InpTPMode,InpTP1Pct,InpTPRefreshBars,InpBEatATR,InpBEMode,InpMinTPatATR,InpUseCongestionFilter,InpCongBars,InpCongCSMin,InpCongCDAStdBars,InpCongWidthDropPct,InpCongLateralATR,InpRiskPercent,InpMaxPositions,InpMaxTradesPerDay,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
0,-182.04,-7.00154,0.74246,-0.40339,-4.14448,4.4792,26,-1.0206,-199,-199.28,1.20,2,1.0,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
2,87.13,5.44563,1.30385,0.59592,2.43091,1.4451,16,-1.0137,-101,-101.46,1.50,2,1.0,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
1,-150.95,-6.03800,0.75096,-0.38164,-3.59517,3.9194,25,-1.0221,-199,-199.28,1.35,2,1.0,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
6,11.62,0.52818,1.02374,0.04151,0.36411,2.7734,22,-1.0192,-132,-131.53,1.20,2,1.5,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
3,-182.04,-7.00154,0.74246,-0.40339,-4.14448,4.4792,26,-1.0206,-199,-199.28,1.20,3,1.0,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
4,-150.95,-6.03800,0.75096,-0.38164,-3.59517,3.9194,25,-1.0221,-199,-199.28,1.35,3,1.0,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
7,-62.33,-3.28053,0.86208,-0.19926,-2.19373,3.0988,19,-1.0123,-100,-100.45,1.35,2,1.5,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
5,87.13,5.44563,1.30385,0.59592,2.43091,1.4451,16,-1.0137,-101,-101.46,1.50,3,1.0,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
8,46.10,3.84167,1.18394,0.33525,1.23651,1.3591,12,-1.0137,-101,-101.46,1.50,2,1.5,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
9,11.62,0.52818,1.02374,0.04151,0.36411,2.7734,22,-1.0192,-132,-131.53,1.20,3,1.5,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
10,-62.33,-3.28053,0.86208,-0.19926,-2.19373,3.0988,19,-1.0123,-100,-100.45,1.35,3,1.5,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
