Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpBulgeWidthMult,InpBulgeMinBars,InpBulgeNetMoveATR,InpTF,InpBBPeriod,InpBBDev,InpStdPeriod,InpStdSmaPeriod,InpAtrPeriod,InpPatternMode,InpBulgeRefBars,InpBulgeMaxBars,InpBulgeMinImpBars,InpBulgeCandleMaxATR,InpBulgeMedianDistPct,InpBulgeEndMode,InpBulgeDirMode,InpImpulseATR,InpRientroMaxATR,InpInvViolentBars,InpZigZagATR,InpDeepSpikeATR,InpPostATRRef,InpBandRidingMaxBars,InpPostBulgeMaxBars,InpReinflateTolPct,InpUseShadowFilter,InpShadowBodyMult,InpUseRangeReduction,InpRangeReductionPct,InpContNoImpulseBandReturn,InpNarrowBars,InpStdDownMode,InpFlatSlopeATR,InpSlopeSource,InpRetestBufferATR,InpContRequireNarrow,InpContRequireStdDown,InpUseReversalCandle,InpRevBodyMaxPct,InpRevShadowMinPct,InpMinSolidita,InpSL_ATRmult,InpTPMode,InpTP1Pct,InpTPRefreshBars,InpBEatATR,InpBEMode,InpMinTPatATR,InpUseCongestionFilter,InpCongBars,InpCongCSMin,InpCongCDAStdBars,InpCongWidthDropPct,InpCongLateralATR,InpRiskPercent,InpMaxPositions,InpMaxTradesPerDay,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
0,-96.40,-5.67059,0.75950,-0.39721,-2.11603,2.4128,17,-0.9805,-99,-99.02,1.20,2,1.0,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
1,89.69,5.97933,1.34022,0.57124,1.89692,1.5337,15,-0.9887,-100,-100.41,1.35,2,1.0,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
4,63.77,4.55500,1.24231,0.36744,1.22444,1.6953,14,-0.9912,-100,-100.41,1.35,3,1.0,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
3,-122.32,-7.64500,0.69450,-0.45538,-2.50571,2.6705,16,-0.9805,-99,-99.02,1.20,3,1.0,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
2,144.69,12.05750,1.89920,0.92153,2.17372,1.5406,12,-0.9920,-100,-100.17,1.50,2,1.0,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
5,118.77,10.79727,1.74014,0.75645,1.56070,1.5406,11,-0.9920,-100,-100.17,1.50,3,1.0,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
7,-8.97,-0.69000,0.96577,-0.05701,-0.14622,1.5519,13,-0.9983,-100,-100.41,1.35,2,1.5,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
6,-113.53,-7.09562,0.71627,-0.46780,-2.23307,2.4169,16,-0.9805,-99,-99.02,1.20,2,1.5,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
8,63.65,5.78636,1.39759,0.40451,0.83423,1.5562,11,-1.0000,-100,-100.17,1.50,2,1.5,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
9,-139.45,-9.29667,0.65110,-0.51915,-2.51370,2.6751,15,-0.9805,-99,-99.02,1.20,3,1.5,16385,20,2,20,50,14,2,20,20,1,0,0.75,1,1,1.5,1.5,3,1.5,1.5,1,20,30,1.05,0,1.5,0,30,0,2,0,0.05,0,0.15,1,1,0,33,50,0,3,0,50,1,1,0,0,0,15,4,10,15,1,1,1,0,0,abtg_news.csv,3,60,30,0,,BB,772101,0,1
