Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpEmaPeriod,InpEma14Period,InpAtrPeriod,InpMinDistAtr,InpMaxDistAtr,InpUseEma14Bias,InpAllowLong,InpAllowShort,InpUseAdrFilter,InpAdrDays,InpAdrDistMin,InpAdrDistMax,InpOrder1Atr,InpOrder2Atr,InpUseOrder2,InpPendingExpiryBars,InpSLatr,InpMinRR,InpTP_RR,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpUseTrailing,InpUseCutoff,InpCutoffHour,InpCutoffMin,InpRiskPercent,InpMaxTradesPerDay,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpFridayClose,InpFridayCloseHour,InpMagic,InpMaxSpread,InpVerbose
1,-2303.87,-4.41354,0.62347,-0.87747,-5.00000,26.1881,522,20,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
2,-386.97,-0.95785,0.91765,-0.34445,-1.26164,10.8121,404,30,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
4,-799.74,-10.80730,0.38070,-0.93471,-5.00000,8.5168,74,16386,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
6,-171.94,-4.40872,0.65818,-0.75313,-3.04359,2.2778,39,16388,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
0,-2360.35,-4.24523,0.68388,-0.87850,-5.00000,26.2689,556,15,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
7,-15.29,-0.61160,0.95229,-0.05295,-0.37941,2.8712,25,16390,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
3,-130.18,-0.64128,0.94165,-0.16832,-0.76772,7.2665,203,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
5,-307.45,-6.14900,0.59537,-0.57878,-4.44716,5.2995,50,16387,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
8,-69.74,-4.64933,0.65574,-0.48872,-1.34386,1.4248,15,16392,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
10,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,16408,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
9,142.74,35.70500,1785.25000,3.12273,0.45494,0.4554,4,16396,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
