Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpEmaPeriod,InpEma14Period,InpAtrPeriod,InpMinDistAtr,InpMaxDistAtr,InpUseEma14Bias,InpAllowLong,InpAllowShort,InpUseAdrFilter,InpAdrDays,InpAdrDistMin,InpAdrDistMax,InpOrder1Atr,InpOrder2Atr,InpUseOrder2,InpPendingExpiryBars,InpSLatr,InpMinRR,InpTP_RR,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpUseTrailing,InpUseCutoff,InpCutoffHour,InpCutoffMin,InpRiskPercent,InpMaxTradesPerDay,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpFridayClose,InpFridayCloseHour,InpMagic,InpMaxSpread,InpVerbose
7,833.76,18.12522,2.53051,2.41243,6.09720,3.3001,46,16390,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
6,410.84,6.13194,1.49468,0.91065,2.43374,4.4901,67,16388,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
1,-261.29,-0.25922,0.97454,-0.21541,-0.75240,11.4277,1008,20,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
0,-1830.19,-1.29342,0.86761,-0.67026,-4.18287,25.9972,1415,15,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
3,343.14,1.17514,1.11901,0.40806,2.09384,8.2266,292,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
2,667.71,0.99067,1.10258,0.66771,2.31422,9.6808,674,30,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
4,524.27,3.13934,1.26997,0.53226,2.52668,8.9587,167,16386,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
5,305.30,2.99314,1.29543,0.69386,2.17410,4.2318,102,16387,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
9,-111.62,-11.16200,0.63164,-0.32401,-0.50265,3.3666,10,16396,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
10,-94.66,-31.55333,0.53553,-0.46209,-0.22087,2.0262,3,16408,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
8,102.15,5.37632,1.27848,0.35799,1.02083,2.8137,19,16392,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.05,0.6,1,6,1,1,2,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200 OTT,0,20,971501,0,1
