Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpTrailStartR,InpTrailTF,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
21,303.85,3.00842,1.09791,0.45153,5.91754,6.2477,101,-1.1788,-301,-321.92,0.25,5,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
12,-220.94,-2.16608,0.92373,-0.26308,-5.00000,8.0740,102,-1.1788,-304,-306.47,0.50,3,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
0,476.33,4.81141,1.26893,0.75993,19.15477,5.7734,99,-1.0324,-217,-217.36,0.00,1,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
15,-224.83,-2.27101,0.92001,-0.27339,-5.00000,7.8932,99,-1.1788,-301,-302.19,0.00,4,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
6,31.26,0.31898,1.01289,0.06283,0.91626,4.8163,98,-1.1788,-208,-207.52,0.25,2,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
9,-391.07,-3.87198,0.89151,-0.34756,-5.00000,10.5775,101,-1.5040,-409,-409.12,1.00,2,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
18,42.79,0.40752,1.01344,0.04813,0.74801,8.3145,105,-1.1788,-304,-314.31,0.75,4,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
3,-22.98,-0.21679,0.99220,-0.02349,-0.49037,9.1889,106,-1.1788,-312,-311.96,0.75,1,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
22,217.72,2.13451,1.06779,0.26719,4.11691,7.5403,102,-1.1788,-309,-324.27,0.50,5,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
13,-6.63,-0.06375,0.99790,-0.00738,-0.12059,8.4416,104,-1.1788,-298,-311.96,0.75,3,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
