Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTPRangeMult,InpUseEma200Filter,InpUseVolumeFilter,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
30,-3301.17,-19.30509,0.79596,-0.52933,-5.00000,48.2129,171,2,1.5,0,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
18,-1222.66,-9.70365,0.90029,-0.28557,-5.00000,33.8996,126,2,1.5,1,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
6,-3301.17,-19.30509,0.79596,-0.52933,-5.00000,48.2129,171,2,1.5,0,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
42,-1222.66,-9.70365,0.90029,-0.28557,-5.00000,33.8996,126,2,1.5,1,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
12,76.82,0.60968,1.01714,0.13958,0.84683,5.2883,126,0,1.0,1,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
24,-468.10,-2.73743,0.92628,-0.36654,-3.78254,11.9522,171,0,1.0,0,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
0,-468.10,-2.73743,0.92628,-0.36654,-3.78254,11.9522,171,0,1.0,0,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
36,76.82,0.60968,1.01714,0.13958,0.84683,5.2883,126,0,1.0,1,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
19,-299.40,-2.37619,0.96628,-0.10569,-2.01652,23.5016,126,3,1.5,1,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
43,-299.40,-2.37619,0.96628,-0.10569,-2.01652,23.5016,126,3,1.5,1,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
