Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTPRangeMult,InpTP1Pct,InpUseTrailEMA,InpUseEma200Filter,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpBreakeven,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
56,-5.41,-0.05410,0.99664,-0.01825,-0.21431,2.9258,100,0,1.0,50,1,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
16,-288.66,-2.15418,0.91184,-0.40034,-5.00000,7.0146,134,0,1.0,0,1,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
48,-22.32,-0.31437,0.98732,-0.05513,-0.77934,4.0066,71,0,1.0,0,1,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
32,904.75,12.92500,1.36483,2.00033,10.45719,4.3526,70,0,1.0,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
40,904.75,12.92500,1.36483,2.00033,10.45719,4.3526,70,0,1.0,50,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
0,-16.00,-0.12030,0.99708,-0.01746,-0.10387,8.7298,133,0,1.0,0,0,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
24,-271.04,-1.41906,0.90844,-0.42688,-5.00000,6.1732,191,0,1.0,50,1,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
8,-16.00,-0.12030,0.99708,-0.01746,-0.10387,8.7298,133,0,1.0,50,0,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
57,-464.57,-4.46702,0.85891,-0.45399,-5.00000,9.9447,104,1,1.0,50,1,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
17,-1101.57,-8.22067,0.82743,-0.73288,-5.00000,14.6875,134,1,1.0,0,1,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
49,-566.57,-7.97986,0.84716,-0.42523,-5.00000,12.9379,71,1,1.0,0,1,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
41,-174.04,-1.70627,0.95548,-0.13923,-2.56664,11.7218,102,1,1.0,50,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
33,142.80,2.01127,1.03054,0.08005,1.57498,16.0566,71,1,1.0,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
1,-439.14,-3.27716,0.94828,-0.22930,-2.56154,17.9489,134,1,1.0,0,0,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
25,-968.65,-4.91701,0.82614,-0.79414,-5.00000,12.0885,197,1,1.0,50,1,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
9,-1323.95,-6.96816,0.80891,-0.84756,-5.00000,15.5171,190,1,1.0,50,0,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
