Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpPatternMode,InpExitMode,InpAllowLong,InpAllowShort,InpTF,InpTP_R,InpSLMode,InpSLBufferATR,InpAtrSlMult,InpAtrPeriodD1,InpSizeMinATR,InpSizeMaxATR,InpMaxDaysHold,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpMagic,InpComment,InpVerbose
12,-771.48,-35.06727,0.23927,-0.86408,-5.00000,8.8213,22,-0.9976,-362,-362.36,0,0,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
9,-1374.92,-39.28343,0.31165,-0.87155,-4.80422,15.4623,35,-1.2898,-1018,-1017.76,0,1,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
6,-1317.86,-37.65314,0.27858,-0.91749,-5.00000,14.1955,35,-1.0020,-801,-800.64,0,0,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
15,-858.97,-40.90333,0.31696,-0.78928,-4.32096,10.6389,21,-1.0069,-531,-530.83,0,1,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
18,-2062.04,-36.82214,0.23676,-0.94442,-5.00000,21.5721,56,-0.9946,-882,-881.70,0,0,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
21,-2095.38,-39.53547,0.29405,-0.89653,-5.00000,22.8202,53,-1.2693,-1041,-1041.04,0,1,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
13,-873.91,-22.40795,0.32724,-0.77539,-3.98483,11.1898,39,-1.0277,-360,-359.62,1,0,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
7,-788.49,-49.28062,0.06620,-0.95485,-3.87581,8.2270,16,-0.9097,-502,-501.92,1,0,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
10,-807.56,-53.83733,0.13076,-0.92856,-2.64063,8.6432,15,-1.3848,-502,-501.92,1,1,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
16,-809.57,-22.48806,0.53988,-0.76389,-2.25665,10.5725,36,-1.1670,-496,-495.66,1,1,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
19,-1400.20,-28.57551,0.22230,-0.95074,-4.62010,14.6214,49,-0.9952,-504,-504.45,1,0,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
22,-1576.20,-35.02667,0.31621,-0.98472,-3.53230,15.9675,45,-1.3825,-476,-475.70,1,1,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
14,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,0,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
8,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,0,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
11,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,1,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
17,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,1,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
20,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,0,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
23,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,1,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
