Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpPatternMode,InpExitMode,InpAllowLong,InpAllowShort,InpTF,InpTP_R,InpSLMode,InpSLBufferATR,InpAtrSlMult,InpAtrPeriodD1,InpSizeMinATR,InpSizeMaxATR,InpMaxDaysHold,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpMagic,InpComment,InpVerbose
6,-585.68,-18.30250,0.47596,-0.74662,-2.94833,7.7827,32,-1.0085,-383,-383.21,0,0,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
9,-363.76,-11.36750,0.73350,-0.56732,-1.24580,6.3603,32,-1.0112,-401,-401.33,0,1,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
15,620.98,15.52450,1.38302,1.49645,1.45190,4.0565,40,-1.8551,-209,-209.04,0,1,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
12,-19.66,-0.49150,0.98576,-0.03256,-0.08135,5.9888,40,-1.0064,-208,-207.82,0,0,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
18,-608.09,-8.44569,0.75091,-0.51242,-1.41170,11.7536,72,-1.0098,-285,-284.66,0,0,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
21,556.23,8.42773,1.21171,0.95824,0.79517,5.6595,66,-1.8440,-308,-308.37,0,1,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
7,410.82,8.38408,1.24509,0.85696,1.14725,4.5189,49,-1.0906,-206,-206.04,1,0,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
13,894.89,20.81140,2.57501,3.28557,3.86257,2.6436,43,-0.9138,-112,-111.87,1,0,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
16,149.90,3.65610,1.10993,0.25167,0.32262,5.8625,41,-1.5745,-259,-258.77,1,1,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
10,300.56,6.53391,1.15663,0.62212,0.58296,4.6333,46,-2.1070,-334,-333.82,1,1,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
19,1191.34,13.85279,1.54785,2.11715,2.11203,5.2340,86,-1.0834,-212,-211.81,1,0,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
22,352.08,4.69440,1.12203,0.41385,0.43408,8.0805,75,-2.0768,-361,-360.97,1,1,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
8,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,0,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
17,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,1,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
11,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,1,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
14,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,0,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
20,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,0,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
23,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,1,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
