Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpPatternMode,InpExitMode,InpAllowLong,InpAllowShort,InpTF,InpTP_R,InpSLMode,InpSLBufferATR,InpAtrSlMult,InpAtrPeriodD1,InpSizeMinATR,InpSizeMaxATR,InpMaxDaysHold,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpMagic,InpComment,InpVerbose
12,-317.56,-9.62303,0.66816,-0.52399,-1.82951,5.9538,33,-0.9953,-307,-306.66,0,0,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
6,-500.13,-13.89250,0.56836,-0.86283,-2.85270,5.7683,36,-1.0073,-194,-194.34,0,0,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
15,-393.09,-12.28406,0.72172,-0.40616,-1.28236,9.4240,32,-1.0717,-615,-615.24,0,1,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
9,-501.23,-15.18879,0.67316,-0.71597,-1.46560,6.9668,33,-1.1843,-324,-370.61,0,1,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
21,-1044.95,-18.99909,0.58160,-0.72493,-2.11422,14.1616,55,-1.0863,-480,-480.42,0,1,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
18,-843.87,-12.40985,0.59481,-0.94545,-2.52484,8.8824,68,-1.0040,-298,-298.49,0,0,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
13,-163.39,-4.29974,0.82353,-0.28895,-0.89052,5.4360,38,-0.9921,-196,-195.69,1,0,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
16,13.28,0.41500,1.01124,0.02423,0.03988,5.1958,32,-1.2190,-164,-201.15,1,1,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
7,100.50,7.73077,1.24776,0.26385,0.35731,3.7956,13,-0.9649,-289,-289.33,1,0,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
19,-238.27,-4.86265,0.81994,-0.40376,-0.90423,5.7626,49,-0.9936,-257,-257.47,1,0,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
10,-59.08,-4.54462,0.88195,-0.14548,-0.14006,4.0265,13,-1.3774,-289,-289.33,1,1,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
22,-337.86,-8.44650,0.78302,-0.40243,-0.82428,8.1133,40,-1.5100,-257,-257.47,1,1,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
14,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,0,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
17,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,1,0,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
8,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,0,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
20,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,0,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
11,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,1,1,0,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
23,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,-0,-0.00,2,1,1,1,16385,1.5,0,0.1,1.5,14,0,0,5,0,3,1,772301,LARRY,1
