Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingPips,InpPendingExpiryBars,InpSLLookback,InpSLBufferPips,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
4,869.58,7.76411,1.69874,1.98168,5.77777,4.1143,112,16386,2.5,9,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV CAC H4,970915,0,1
3,-317.61,-1.93665,0.85060,-0.39131,-1.71450,7.9863,164,16385,2.5,9,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV CAC H4,970915,0,1
2,91.15,0.30282,1.02618,0.07318,0.34515,12.4060,301,30,2.5,9,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV CAC H4,970915,0,1
0,-1621.66,-3.23040,0.75917,-0.72664,-4.43126,21.3711,502,15,2.5,9,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV CAC H4,970915,0,1
6,475.49,11.88725,2.40449,2.38808,7.23928,1.8776,40,16388,2.5,9,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV CAC H4,970915,0,1
5,-520.67,-9.29768,0.49247,-0.75600,-5.00000,6.8379,56,16387,2.5,9,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV CAC H4,970915,0,1
7,-103.87,-2.11980,0.77321,-0.37026,-1.21338,2.7735,49,16390,2.5,9,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV CAC H4,970915,0,1
1,-1425.44,-3.22498,0.76049,-0.60339,-3.70648,22.4651,442,20,2.5,9,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV CAC H4,970915,0,1
10,-450.56,-45.05600,0.00000,-0.87974,-1.46352,5.0901,10,16408,2.5,9,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV CAC H4,970915,0,1
8,-111.51,-5.06864,0.63627,-0.43156,-2.61533,2.5603,22,16392,2.5,9,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV CAC H4,970915,0,1
9,-324.06,-12.96240,0.21176,-0.76045,-5.00000,4.2183,25,16396,2.5,9,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV CAC H4,970915,0,1
