Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingPips,InpPendingExpiryBars,InpSLLookback,InpSLBufferPips,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
7,-35.77,-7.15400,0.31423,-0.18367,-0.29174,1.9170,5,16390,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
0,-1124.04,-3.46926,0.74069,-0.78757,-5.00000,14.0495,324,15,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
2,-730.70,-4.48282,0.66191,-0.93716,-5.00000,7.7777,163,30,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
6,993.16,33.10533,3.65055,2.46161,6.67887,3.5625,30,16388,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
3,-365.07,-2.76568,0.74085,-0.38703,-3.21651,8.9600,132,16385,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
5,-273.46,-13.02190,0.52603,-0.56643,-3.31233,4.8106,21,16387,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
4,556.23,13.56659,3.35332,2.02567,6.83051,2.5836,41,16386,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
1,-448.54,-1.34293,0.88117,-0.31095,-2.73293,13.3906,334,20,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
10,291.33,72.83250,4.92787,2.01864,0.66437,1.4332,4,16408,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
9,-92.37,-23.09250,0.00000,-0.88664,-2.86856,1.0406,4,16396,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
8,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,16392,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
