Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingPips,InpPendingExpiryBars,InpSLLookback,InpSLBufferPips,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
1,8.30,0.02478,1.00226,0.00640,0.03102,11.7278,335,20,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
7,-35.27,-7.05400,0.32121,-0.17733,-0.02521,1.9570,5,16390,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
6,767.44,26.46345,3.06668,1.90281,5.71417,3.6342,29,16388,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
2,-506.75,-3.03443,0.75023,-0.75700,-3.96608,6.6119,167,30,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
5,-50.43,-2.40143,0.85780,-0.12748,-0.75947,3.8240,21,16387,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
0,-631.65,-1.94954,0.84962,-0.53402,-2.28487,11.5811,324,15,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
4,572.66,13.96732,3.48410,2.07005,7.25003,2.6046,41,16386,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
3,-134.35,-1.01015,0.89654,-0.15652,-1.01223,8.0653,133,16385,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
10,284.10,71.02500,4.83712,1.94389,0.45268,1.4511,4,16408,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
9,-89.57,-22.39250,0.00000,-0.86633,-0.05939,1.0325,4,16396,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
8,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,16392,3.5,8,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV DOW H4,970914,0,1
