Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingPips,InpPendingExpiryBars,InpSLLookback,InpSLBufferPips,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
6,-258.16,-25.81600,0.09468,-0.84289,-0.90397,3.0492,10,16388,3.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE,770501,0,1
7,-211.33,-35.22167,0.00000,-0.80122,-0.50363,2.6243,6,16390,3.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE,770501,0,1
5,-115.52,-5.77600,0.56862,-0.61131,-1.32481,1.8862,20,16387,3.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE,770501,0,1
4,-395.30,-11.29429,0.32500,-0.92591,-5.00000,4.2663,35,16386,3.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE,770501,0,1
2,-278.56,-2.57926,0.68770,-0.86172,-2.91667,3.2259,108,30,3.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE,770501,0,1
1,-65.09,-0.33379,0.94689,-0.26762,-0.54839,2.3945,195,20,3.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE,770501,0,1
3,69.15,1.23482,1.14682,0.33872,0.75007,2.0166,56,16385,3.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE,770501,0,1
0,-139.37,-0.54441,0.90649,-0.57883,-1.08692,2.4023,256,15,3.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE,770501,0,1
10,97.90,48.95000,1.93114,0.53570,0.08593,1.8140,2,16408,3.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE,770501,0,1
8,72.41,24.13667,1.55182,0.32057,0.02209,2.2539,3,16392,3.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE,770501,0,1
9,239.88,119.94000,0.00000,1.79968,0.06526,1.3136,2,16396,3.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE,770501,0,1
