Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingPips,InpPendingExpiryBars,InpSLLookback,InpSLBufferPips,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
7,28.12,3.12444,1.19420,0.11594,0.07204,2.4130,9,16390,2.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE DOW H1,770511,0,1
6,355.14,35.51400,5.38607,1.60850,1.01571,2.1022,10,16388,2.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE DOW H1,770511,0,1
5,154.33,12.86083,2.52969,0.70419,0.82119,2.1127,12,16387,2.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE DOW H1,770511,0,1
1,682.52,2.60504,1.23513,1.34805,2.52719,4.6367,262,20,2.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE DOW H1,770511,0,1
4,553.16,25.14364,6.32653,2.90785,6.76993,1.7788,22,16386,2.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE DOW H1,770511,0,1
3,1022.29,12.17012,1.84892,2.42974,5.58249,3.7267,84,16385,2.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE DOW H1,770511,0,1
2,-13.97,-0.09979,0.99105,-0.02058,-0.09197,6.4561,140,30,2.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE DOW H1,770511,0,1
0,-6.77,-0.01940,0.99826,-0.00999,-0.02414,6.6941,349,15,2.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE DOW H1,770511,0,1
10,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,16408,2.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE DOW H1,770511,0,1
9,51.36,12.84000,857.00000,0.14649,0.02416,3.3750,4,16396,2.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE DOW H1,770511,0,1
8,-68.63,-11.43833,0.42569,-0.22084,-0.09301,3.0594,6,16392,2.5,10,1,1,1,1,0,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,3,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,SUPERWAVE DOW H1,770511,0,1
