Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingPips,InpPendingExpiryBars,InpSLLookback,InpSLBufferPips,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpFridayClose,InpFridayCloseHour,InpMagic,InpMaxSpread,InpVerbose
6,-62.11,-5.64636,0.39593,-0.62915,-1.43115,0.9841,11,16388,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV,0,20,770901,0,1
3,142.27,2.68434,1.71720,1.42813,4.82877,0.9744,53,16385,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV,0,20,770901,0,1
7,-15.33,-3.83250,0.66389,-0.26080,-0.10571,0.5853,4,16390,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV,0,20,770901,0,1
0,-322.10,-1.91726,0.77512,-0.64663,-4.14196,4.9504,168,15,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV,0,20,770901,0,1
5,9.02,1.12750,1.21672,0.15127,0.13308,0.5922,8,16387,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV,0,20,770901,0,1
4,66.45,2.88913,1.88742,1.26475,4.19627,0.5241,23,16386,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV,0,20,770901,0,1
1,-4.87,-0.02934,0.99576,-0.02150,-0.07107,2.2157,166,20,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV,0,20,770901,0,1
2,49.00,0.51042,1.08356,0.18716,1.11245,2.5864,96,30,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV,0,20,770901,0,1
8,-23.59,-11.79500,0.00000,-0.28306,-0.04133,0.8285,2,16392,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV,0,20,770901,0,1
9,-132.93,-33.23250,0.00000,-0.93474,-0.57808,1.4208,4,16396,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV,0,20,770901,0,1
10,-20.26,-10.13000,0.69391,-0.18115,-0.01451,1.1140,2,16408,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV,0,20,770901,0,1
