Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingAtr,InpPendingExpiryBars,InpSLLookback,InpSLBufferAtr,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
6,-74.38,-4.95867,0.70912,-0.48418,-1.25410,1.5241,15,16388,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
5,278.88,18.59200,3.53550,2.30861,3.65214,1.2064,15,16387,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
7,-55.76,-9.29333,0.65616,-0.30455,-0.21339,1.8079,6,16390,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
4,188.86,4.84256,1.49422,0.74713,3.82243,2.4845,39,16386,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
1,277.43,1.13701,1.08666,0.51813,2.01393,5.0472,244,20,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
2,-383.51,-2.52309,0.79955,-0.40642,-3.76840,9.1894,152,30,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
3,-96.16,-1.23282,0.90092,-0.31857,-1.13082,3.0023,78,16385,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
0,-965.60,-3.75720,0.74818,-0.77354,-5.00000,12.3514,257,15,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
10,-66.25,-66.25000,0.00000,-0.94602,-0.95299,0.7000,1,16408,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
9,-313.21,-52.20167,0.00000,-0.89714,-1.08280,3.4787,6,16396,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
8,-33.46,-11.15333,0.00000,-0.21940,-0.04419,1.5072,3,16392,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
