Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingAtr,InpPendingExpiryBars,InpSLLookback,InpSLBufferAtr,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
7,-215.95,-26.99375,0.25033,-0.80693,-1.65184,2.6624,8,16390,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
6,-110.97,-7.92643,0.68641,-0.27509,-0.64688,3.9654,14,16388,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
0,305.44,0.62590,1.05028,0.34359,1.22903,8.7512,488,15,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
2,-156.52,-0.69257,0.94335,-0.13163,-0.90161,11.5732,226,30,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
4,1.84,0.03472,1.00244,0.00574,0.01945,3.1191,53,16386,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
3,-500.74,-7.36382,0.52707,-0.64260,-5.00000,7.6573,68,16385,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
1,-1120.85,-3.52469,0.76692,-0.77070,-5.00000,14.4435,318,20,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
5,325.10,10.83667,1.69247,0.80618,2.65372,3.9979,30,16387,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
8,-140.88,-15.65333,0.49702,-0.50602,-0.68990,2.7463,9,16392,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
10,208.09,69.38667,2973.71429,5.32608,0.95819,0.3847,3,16408,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
9,-320.07,-20.00437,0.51379,-0.49569,-0.92412,6.4270,16,16396,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
