Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingAtr,InpPendingExpiryBars,InpSLLookback,InpSLBufferAtr,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
6,1098.26,33.28061,4.50613,3.13421,6.07645,3.1471,33,16388,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
5,-346.71,-9.37054,0.62516,-0.40468,-3.03378,8.2937,37,16387,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
7,-56.43,-2.56500,0.88951,-0.15066,-0.61956,3.6583,22,16390,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
3,-48.05,-0.35073,0.98421,-0.04683,-0.17821,9.9435,137,16385,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
4,-1040.17,-15.29662,0.54893,-0.71667,-4.87481,14.3380,68,16386,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
0,-3156.41,-6.17693,0.75293,-0.64368,-5.00000,42.5814,511,15,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
2,1644.75,6.39981,1.25637,1.33722,3.41876,10.6586,257,30,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
1,-3026.39,-8.20160,0.70947,-0.70266,-5.00000,39.8952,369,20,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
8,338.83,18.82389,2.48982,1.39839,2.17526,2.3579,18,16392,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
9,-609.09,-55.37182,0.02110,-0.93809,-4.07450,6.4669,11,16396,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
10,546.46,182.18000,6831.75000,2.70164,0.18801,2.0082,3,16408,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
