Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingAtr,InpPendingExpiryBars,InpSLLookback,InpSLBufferAtr,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
3,347.20,2.53431,1.12063,0.39177,0.90867,8.5798,137,16385,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
5,-320.11,-8.65162,0.64663,-0.36508,-2.81231,8.4852,37,16387,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
2,2240.73,8.92721,1.35935,1.89139,3.19468,10.0417,251,30,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
6,1142.92,34.63394,4.78513,3.31032,6.63626,3.0938,33,16388,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
4,-878.27,-12.72855,0.61383,-0.59980,-3.41404,14.2813,69,16386,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
1,-1355.57,-3.92919,0.85974,-0.42520,-1.96066,28.3123,345,20,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
7,-13.77,-0.62591,0.97102,-0.03739,-0.14749,3.5955,22,16390,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
0,-1595.72,-3.37362,0.86507,-0.41225,-2.02107,33.4412,473,15,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
8,366.99,20.38833,2.69926,1.49554,2.52671,2.3843,18,16392,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
9,-604.11,-54.91909,0.02219,-0.93751,-5.00000,6.4180,11,16396,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
10,545.99,182.02333,6825.87500,2.62659,0.20634,2.0636,3,16408,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
