Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingAtr,InpPendingExpiryBars,InpSLLookback,InpSLBufferAtr,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
2,919.55,2.15351,1.08718,0.40317,1.26960,22.0620,427,30,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
6,2108.11,43.02265,2.90729,3.69326,5.53480,4.5020,49,16388,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
4,-218.89,-3.04014,0.83593,-0.24162,-1.03384,8.8251,72,16386,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
5,-701.29,-10.95766,0.63478,-0.55415,-3.43650,12.1680,64,16387,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
3,2492.02,13.25543,1.60349,2.55757,5.24038,9.1104,188,16385,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
7,722.32,20.63771,2.32750,1.44092,2.64183,4.5323,35,16390,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
0,3644.60,4.13220,1.14283,1.32941,3.44557,18.4803,882,15,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
1,168.10,0.28300,1.01017,0.05906,0.23741,22.0123,594,20,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
9,-430.61,-53.82625,0.02687,-0.98793,-2.44640,4.3564,8,16396,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
8,451.82,34.75538,8.43370,1.25540,1.61051,3.4857,13,16392,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
10,120.27,13.36333,1.23762,0.17304,0.12116,6.8946,9,16408,2.5,12,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,3,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI OTT,971001,0,1
