Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingPips,InpPendingExpiryBars,InpSLLookback,InpSLBufferPips,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
4,-231.19,-4.20345,0.72816,-0.61434,-2.65431,3.7321,55,16386,2.5,7,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV OTT,970901,0,1
6,532.04,17.73467,2.25310,2.38081,5.04997,2.0846,30,16388,2.5,7,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV OTT,970901,0,1
7,-206.55,-9.38864,0.56793,-0.64759,-3.37282,3.1587,22,16390,2.5,7,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV OTT,970901,0,1
5,-109.00,-3.11429,0.77974,-0.36577,-1.81621,2.9578,35,16387,2.5,7,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV OTT,970901,0,1
0,586.56,1.02545,1.07199,0.54910,2.15311,9.6954,572,15,2.5,7,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV OTT,970901,0,1
3,-843.85,-5.74048,0.62761,-0.82993,-5.00000,10.0638,147,16385,2.5,7,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV OTT,970901,0,1
2,-311.33,-1.16168,0.91670,-0.40740,-1.79921,7.4173,268,30,2.5,7,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV OTT,970901,0,1
1,-398.53,-0.94888,0.93512,-0.32053,-1.62994,12.1221,420,20,2.5,7,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV OTT,970901,0,1
9,-134.19,-13.41900,0.38507,-0.64117,-1.39192,2.0835,10,16396,2.5,7,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV OTT,970901,0,1
8,87.20,21.80000,2.04207,0.38807,0.09578,2.1790,4,16392,2.5,7,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV OTT,970901,0,1
10,63.26,7.90750,1.22078,0.20186,0.05530,3.0861,8,16408,2.5,7,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,20,3,5,3,1,50,1,2.5,1,1,2,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV OTT,970901,0,1
