Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpWolProximityAtr,InpAllowLong,InpAllowShort,InpDojiBodyMaxPct,InpUseHeikinAshi,InpMaxDojiAtr,InpRequireConfirmClose,InpUseChannels,InpTmaSlow,InpAtrSlow,InpMultSlow,InpUseEmaTrend,InpEma200Period,InpEma14Period,InpAvoidLateral,InpMinDojiAtr,InpAtrExitPeriod,InpSLbufferAtr,InpMinRR,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpTP_RR,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
4,-10.29,-0.34300,0.00000,-0.90026,-5.00000,0.1143,30,16386,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
6,-9.93,-0.36778,0.06232,-0.89218,-5.00000,0.1113,27,16388,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
2,-93.82,-0.70541,0.14585,-0.54423,-5.00000,1.7239,133,30,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
1,-302.03,-2.55958,0.04647,-0.98065,-5.00000,3.0799,118,20,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
5,-14.01,-0.35025,0.00000,-1.00000,-5.00000,0.1401,40,16387,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
7,111.69,5.07682,16.86506,1.20511,34.18066,0.9214,22,16390,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
3,-40.70,-1.40345,0.23996,-0.75876,-5.00000,0.5357,29,16385,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
0,-82.17,-0.59978,0.50702,-0.48375,-5.00000,1.6986,137,15,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
10,-0.80,-0.20000,0.00000,-0.89888,0.00000,0.0089,4,16408,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
8,-5.94,-0.22000,0.00000,-1.00000,-5.00000,0.0594,27,16392,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
9,4.09,0.15148,1.40575,0.26926,12.35967,0.1518,27,16396,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
