Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpWolProximityAtr,InpAllowLong,InpAllowShort,InpDojiBodyMaxPct,InpUseHeikinAshi,InpMaxDojiAtr,InpRequireConfirmClose,InpUseChannels,InpTmaSlow,InpAtrSlow,InpMultSlow,InpUseEmaTrend,InpEma200Period,InpEma14Period,InpAvoidLateral,InpMinDojiAtr,InpAtrExitPeriod,InpSLbufferAtr,InpMinRR,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpTP_RR,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
7,-0.62,-0.15500,0.00000,-0.88571,-0.78631,0.0070,4,16390,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
4,30.80,0.75122,1.29255,0.16349,4.20810,1.8641,41,16386,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
0,33.27,0.31093,1.56495,0.64203,17.06515,0.5182,107,15,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
3,34.14,0.56900,2.18459,1.14602,23.79838,0.2976,60,16385,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
5,97.65,2.32500,9.67229,1.51914,27.17566,0.6408,42,16387,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
2,4.19,0.06162,1.10065,0.16700,4.37805,0.2502,68,30,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
6,-74.44,-3.72200,0.28237,-0.72146,-5.00000,1.0288,20,16388,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
1,7.22,0.06171,1.07696,0.05986,1.48194,1.2061,117,20,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
8,-70.08,-5.84000,0.17251,-0.39886,-5.00000,1.7483,12,16392,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
10,-0.55,-0.06111,0.00000,-0.27638,-3.42851,0.0199,9,16408,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
9,21.52,3.58667,64.29412,2.56496,3.98632,0.0839,6,16396,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
