Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpWolProximityAtr,InpAllowLong,InpAllowShort,InpDojiBodyMaxPct,InpUseHeikinAshi,InpMaxDojiAtr,InpRequireConfirmClose,InpUseChannels,InpTmaSlow,InpAtrSlow,InpMultSlow,InpUseEmaTrend,InpEma200Period,InpEma14Period,InpAvoidLateral,InpMinDojiAtr,InpAtrExitPeriod,InpSLbufferAtr,InpMinRR,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpTP_RR,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
7,-20.08,-1.18118,0.10277,-0.84726,-0.25032,0.2369,17,16390,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
0,-42.73,-0.57743,0.64817,-0.45966,-2.49064,0.9296,74,15,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
1,-20.62,-0.24259,0.87760,-0.11342,-0.55781,1.8181,85,20,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
3,-30.17,-0.70163,0.30929,-0.77280,-3.24491,0.3901,43,16385,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
5,-12.21,-0.29780,0.37191,-0.52426,-2.42499,0.2328,41,16387,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
4,0.93,0.04227,1.07294,0.06610,0.11111,0.1405,22,16386,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
2,-143.00,-3.25000,0.05673,-0.82388,-2.15511,1.7304,44,30,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
6,-3.56,-0.22250,0.49432,-0.39556,-0.20390,0.0900,16,16388,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
8,-3.91,-0.21722,0.41902,-0.42779,-0.35455,0.0914,18,16392,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
10,-1.41,-0.10846,0.24599,-0.54440,-0.32432,0.0259,13,16408,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
9,-1.62,-0.16200,0.20976,-0.73303,-0.09134,0.0221,10,16396,0.5,1,1,12,1,2,1,0,56,100,2,0,200,14,1,0.3,14,0.15,1,0,50,1,2,1,1,0,1,0,abtg_news.csv,3,60,30,0,,WOL,771401,0,1
