Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpBufferPoints,InpMgmtTF,InpBoxStartHour,InpBoxStartMin,InpBoxEndHour,InpBoxEndMin,InpMinBoxPts,InpMaxBoxPts,InpPlaceHour,InpPlaceMin,InpEntryCutoffHour,InpEntryCutoffMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpSLMode,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP2_R,InpTP2Pct,InpUseEMA200Target,InpEMA200Period,InpTPfinal_R,InpUseTrailing,InpTrailAtrMult,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
2,-41.08,-0.61313,0.95137,-0.09922,-0.55948,4.0986,67,250,30,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
6,45.82,0.73903,1.05244,0.14374,0.56755,3.1540,62,250,16385,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
0,-77.83,-0.75563,0.95114,-0.12666,-0.64689,6.0493,103,50,30,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
4,-195.59,-2.08074,0.88635,-0.31999,-1.42801,6.0563,94,50,16385,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
10,258.40,4.69818,1.33363,0.83229,2.69163,3.0676,55,250,16386,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
8,77.72,0.93639,1.04425,0.18973,0.48876,4.0073,83,50,16386,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
12,8.69,0.10728,1.00493,0.01315,0.05176,6.3629,81,50,16387,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
14,315.19,6.06135,1.40962,1.30757,3.04703,2.3817,52,250,16387,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
3,376.90,6.85273,2.16410,2.06249,6.89971,1.8094,55,350,30,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
7,465.86,9.31720,2.43465,2.88030,8.11282,1.5947,50,350,16385,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
