Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpBufferPoints,InpMgmtTF,InpBoxStartHour,InpBoxStartMin,InpBoxEndHour,InpBoxEndMin,InpMinBoxPts,InpMaxBoxPts,InpPlaceHour,InpPlaceMin,InpEntryCutoffHour,InpEntryCutoffMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpSLMode,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP2_R,InpTP2Pct,InpUseEMA200Target,InpEMA200Period,InpTPfinal_R,InpUseTrailing,InpTrailAtrMult,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
10,1023.31,12.47939,1.90814,1.88865,5.37443,5.3217,82,250,16386,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
0,749.27,5.80829,1.46126,1.29800,4.17781,5.6073,129,50,30,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
2,827.99,8.36354,1.89464,1.97814,5.79215,4.0950,99,250,30,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
14,1092.40,13.16145,1.98845,1.93475,5.68967,5.5457,83,250,16387,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
6,1262.87,14.18955,2.26640,3.73885,7.18756,3.3076,89,250,16385,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
12,1050.18,9.63468,1.55140,1.57538,4.21533,6.5957,109,50,16387,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
4,927.93,7.99940,1.49346,1.59913,4.16722,5.7427,116,50,16385,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
8,880.84,8.15593,1.45520,1.26180,3.54110,6.9082,108,50,16386,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
11,754.70,9.80130,1.64699,1.53463,4.32384,4.8470,77,350,16386,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
1,648.71,5.74080,1.46847,0.90930,4.01929,6.9481,113,150,30,22,0,6,59,0,0,7,0,9,30,17,30,1,1,90,1,1,0,14,1.5,3000,1,50,1,2.5,50,1,200,4,1,2,0,SPXUSD,16385,14,100,1,0,abtg_news.csv,3,30,30,0,,1,MAXMIN,770402,0,1
